id	name	winPoint	losePoint	startRoomId	endRoomId	areaId	isTeam	type	step	inRate
ID	副本名字	胜利得到的基础分	失败得到的基础分	第一个房间ID	结束房间ID	区域ID	是否能组队	类型	难度（步骤）	隐藏房间几率
1	试炼之地一	100	-10	1013120101	1013120130	1012120100	0	1	0	0
2	试炼之地二	100	-10	1013130101	1013130130	1012130100	0	1	0	0
3	试炼之地三	100	-10	1013140101	1013140140	1012140100	0	1	0	0
4	BOSS之家一	100	-10	1013150101	1013150110	1012150100	0	1	0	0
5	试炼之地四	100	-10	1013200101	1013200120	1012200100	0	1	0	0
6	新年副本	100	-10	1013220101	1013220130	1012220100	0	1	0	0
7	BOSS之家二	100	-10	1013230111	1013230120	1012230100	0	1	0	0
8	BOSS之家三	100	-10	1013240121	1013240128	1012240100	0	1	0	0
9	BOSS之家四	100	-10	1013250129	1013250137	1012250100	0	1	0	0
10	试炼之地五	100	-10	1013260101	1013260120	1012260100	0	1	0	0
11	春节副本一	100	-10	1013270101	1013270120	1012270100	0	1	0	0
12	春节副本二	100	-10	1013280101	1013280120	1012280100	0	1	0	0
13	试炼之地1	100	-10	1013290101	1013290120	1012290100	0	1	0	0
14	试炼之地2	100	-10	1013300101	1013300120	1012300100	0	1	0	0
15	试炼之地3	100	-10	1013310101	1013310120	1012310100	0	1	0	0
16	试炼之地4	100	-10	1013320101	1013320120	1012320100	0	1	0	0
17	试炼之地5	100	-10	1013330101	1013330120	1012330100	0	1	0	0
18	五一副本一	100	-10	1013340101	1013340120	1012340100	0	1	0	0
19	五一副本二	100	-10	1013350101	1013350120	1012350100	0	1	0	0
20	忍者村落五日游	0	0	1013360101	1013360105	1012360100	1	2	0	1013360107:300|1013360106:1000
21	枫叶山谷五日游	0	0	1013370101	1013370105	1012370100	1	2	0	1013370107:300|1013370106:1000
22	忍者村落六日游	0	0	1013380101	1013380105	1012380100	1	2	0	1013380107:300|1013380106:1000
23	枫叶山谷六日游	0	0	1013390101	1013390105	1012390100	1	2	0	1013390107:300|1013390106:1000
24	忍者村落七日游	0	0	1013400101	1013400105	1012400100	1	2	0	1013400107:300|1013400106:1000
25	枫叶山谷七日游	0	0	1013410101	1013410105	1012410100	1	2	0	1013410107:300|1013410106:1000
26	人间试炼1	0	0	1013440101	1013440104	1012440100	0	3	1	1013440105:1200
27	人间试炼2	0	0	1013440201	1013440204	1012440101	0	3	2	1013440205:1200
28	人间试炼3	0	0	1013440301	1013440304	1012440102	0	3	3	1013440305:1200
29	人间试炼4	0	0	1013440401	1013440404	1012440103	0	3	4	1013440405:1200
30	人间试炼5	0	0	1013440501	1013440504	1012440104	0	3	5	1013440505:1200
31	人间试炼6	0	0	1013440601	1013440604	1012440105	0	3	6	1013440605:1200
32	地狱试炼1	0	0	1013450101	1013450104	1012450100	0	4	1	1013450105:1200
33	地狱试炼2	0	0	1013450201	1013450204	1012450101	0	4	2	1013450205:1200
34	地狱试炼3	0	0	1013450301	1013450304	1012450102	0	4	3	1013450305:1200
35	地狱试炼4	0	0	1013450401	1013450404	1012450103	0	4	4	1013450405:1200
36	地狱试炼5	0	0	1013450501	1013450504	1012450104	0	4	5	1013450505:1200
37	地狱试炼6	0	0	1013450601	1013450604	1012450105	0	4	6	1013450605:1200
38	天堂试炼1	0	0	1013460101	1013460104	1012460100	0	5	1	1013460105:1200
39	天堂试炼2	0	0	1013460201	1013460204	1012460101	0	5	2	1013460205:1200
40	天堂试炼3	0	0	1013460301	1013460304	1012460102	0	5	3	1013460305:1200
41	天堂试炼4	0	0	1013460401	1013460404	1012460103	0	5	4	1013460405:1200
42	天堂试炼5	0	0	1013460501	1013460504	1012460104	0	5	5	1013460505:1200
43	天堂试炼6	0	0	1013460601	1013460604	1012460105	0	5	6	1013460605:1200
