minLevel	maxLevel	expReward
最小等级	最大等级	经验奖励
1	10	200
11	20	402
21	30	607
31	40	818
41	50	1038
51	60	1269
61	70	1513
71	80	1773
81	90	2051
91	100	2350
101	110	6920
111	120	8592
121	130	10544
131	140	12799
141	150	15383
151	160	18320
161	170	21634
171	180	25351
181	190	29496
191	200	34093
201	210	39168
211	220	44750
221	230	50854
231	240	57515
241	250	64757
251	260	72604
261	270	81083
271	280	90221
281	290	100064
291	300	110575
301	310	121846
311	320	133881
321	330	146708
331	340	160354
341	350	174847
351	360	190213
361	370	206482
371	380	223681
381	390	241838
391	400	260982
401	410	281143
411	420	302348
421	430	324628
431	440	348011
441	450	372528
451	460	398209
461	470	425084
471	480	453183
481	490	484539
491	500	513181
501	510	545142
511	520	578452
521	530	613146
531	540	649254
541	550	686809
551	560	725845
561	570	766396
571	580	808494
581	590	852174
591	600	897470
601	610	904418
611	620	993052
621	630	1043409
631	640	1095523
641	650	1149431
651	660	1205170
661	670	1262773
671	680	1322290
681	690	1383746
691	700	1447184
701	710	1512642
711	720	1580159
721	730	1649776
731	740	1721532
741	750	1795468
751	760	1871624
761	770	1950041
771	780	2030763
781	790	2113830
791	800	2199286
801	810	2287174
811	820	2377538
821	830	2470421
831	840	2565871
841	850	2663926
851	860	2764639
861	870	2868054
871	880	2974217
881	890	3083175
891	900	3194977
901	910	3309670
911	920	3427305
921	930	3547929
931	940	3671593
941	950	3798545
951	960	3928244
961	970	4061333
971	980	4197668
981	990	4337302
991	1000	4480287
1001	1010	4626678
1011	1020	4776530
1021	1030	4929898
1031	1040	5086837
1041	1050	5247404
1051	1060	5411656
1061	1070	5579651
1071	1080	5751448
1081	1090	5927105
1091	1100	6106682
1101	1110	6290239
1111	1120	6477838
1121	1130	6669539
1131	1140	6865406
1141	1150	7065502
1151	1160	7269889
1161	1170	7478633
1171	1180	7691799
1181	1190	7909451
1191	1200	8131658
1201	1210	8358486
1211	1220	8590004
1221	1230	8826278
1231	1240	9067381
1241	1250	9313380
1251	1260	9564348
1261	1270	9820356
1271	1280	10081476
1281	1290	10347782
1291	1300	10619348
1301	1310	10896247
1311	1320	11178557
1321	1330	11466353
1331	1340	11759712
1341	1350	12058712
1351	1360	12363432
1361	1370	12673951
1371	1380	12990350
1381	1390	13312710
1391	1400	13641113
1401	1410	13975642
1411	1420	14316380
1421	1430	14663412
1431	1440	15016824
1441	1450	15376701
1451	1460	15743131
1461	1470	16116202
1471	1480	16496002
1481	1490	16882622
1491	1500	17276152
1501	1510	17676683
1511	1520	18084308
1521	1530	18499121
1531	1540	18921215
1541	1550	19350687
1551	1560	19787631
1561	1570	20232145
1571	1580	20684327
1581	1590	21144277
1591	1600	21612093
1601	1610	22087876
1611	1620	22571730
1621	1630	23063755
1631	1640	23564057
1641	1650	24072740
1651	1660	24589909
1661	1670	25115671
1671	1680	25650134
1681	1690	26193407
1691	1700	26745599
1701	1710	27306821
1711	1720	27877186
1721	1730	28456805
1731	1740	29045793
1741	1750	29644264
1751	1760	30252334
1761	1770	30870121
1771	1780	31497743
1781	1790	32135318
1791	1800	32782968
1801	1810	33440810
1811	1820	34108971
1821	1830	34787572
1831	1840	35476739
1841	1850	36176597
1851	1860	36887272
1861	1870	37608893
1871	1880	38341588
1881	1890	39085488
1891	1900	39840723
1901	1910	40607427
1911	1920	41385732
1921	1930	42175773
1931	1940	42977686
1941	1950	43791609
1951	1960	44617678
1961	1970	45456034
1971	1980	46306817
1981	1990	47170171
1991	2000	48046231
2001	2010	48845695
2011	2020	49746308
2021	2030	50660053
2031	2040	51587078
2041	2050	52527533
2051	2060	53481566
2061	2070	54449329
2071	2080	55430975
2081	2090	56426657
2091	2100	57436531
2101	2110	58460753
2111	2120	59499479
2121	2130	60552870
2131	2140	61621084
2141	2150	62704284
2151	2160	63802631
2161	2170	64916290
2171	2180	66045427
2181	2190	67190206
2191	2200	68350797
2201	2210	69527369
2211	2220	70720091
2221	2230	71929136
2231	2240	73154677
2241	2250	74396888
2251	2260	75655945
2261	2270	76932026
2271	2280	78225308
2281	2290	79535972
2291	2300	80864199
2301	2310	82210171
2311	2320	83574073
2321	2330	84956089
2331	2340	86356408
2341	2350	87775216
2351	2360	89212704
2361	2370	90669063
2371	2380	92144484
2381	2390	93639163
2391	2400	95153293
2401	2410	96687073
2411	2420	98240699
2421	2430	99814372
2431	2440	101408293
2441	2450	103022665
2451	2460	104657690
2461	2470	106313575
2471	2480	107990527
2481	2490	109688755
2491	2500	111408467
2501	2510	113149876
2511	2520	114913194
2521	2530	116698636
2531	2540	118506418
2541	2550	120336757
2551	2560	122189872
2561	2570	124065985
2571	2580	125965316
2581	2590	127888090
2591	2600	129834531
2601	2610	131804867
2611	2620	133799326
2621	2630	135818137
2631	2640	137861532
2641	2650	139929744
2651	2660	142023008
2661	2670	144141559
2671	2680	146285637
2681	2690	148455479
2691	2700	150651326
2701	2710	152873423
2711	2720	155122012
2721	2730	157397340
2731	2740	159699655
2741	2750	162029204
2751	2760	164386240
2761	2770	166771014
2771	2780	169183782
2781	2790	171624797
2791	2800	174094318
2801	2810	176592605
2811	2820	179119917
2821	2830	181676518
2831	2840	184262671
2841	2850	186878642
2851	2860	189524700
2861	2870	192201112
2871	2880	194908151
2881	2890	197646089
2891	2900	200415201
2901	2910	203215762
2911	2920	206048051
2921	2930	208912347
2931	2940	211808932
2941	2950	214738089
2951	2960	217700104
2961	2970	220695262
2971	2980	223723852
2981	2990	226786165
2991	3000	229882493
3001	3010	233328072
3011	3020	236496790
3021	3030	239700440
3031	3040	242939320
3041	3050	246213734
3051	3060	249523983
3061	3070	252870374
3071	3080	256253212
3081	3090	259672806
3091	3100	263129467
3101	3110	266623507
3111	3120	270155241
3121	3130	273724985
3131	3140	277333056
3141	3150	280979775
3151	3160	284665463
3161	3170	288390444
3171	3180	292155044
3181	3190	295959590
3191	3200	299804411
3201	3210	303689839
3211	3220	307616206
3221	3230	311583849
3231	3240	315593104
3241	3250	319644310
3251	3260	323737808
3261	3270	327873942
3271	3280	332053055
3281	3290	336275495
3291	3300	340541610
3301	3310	344851753
3311	3320	349206274
3321	3330	353605529
3331	3340	358049875
3341	3350	362539671
3351	3360	367075277
3361	3370	371657056
3371	3380	376285373
3381	3390	380960594
3391	3400	385683089
3401	3410	390453229
3411	3420	395271386
3421	3430	400137936
3431	3440	405053255
3441	3450	410017723
3451	3460	415031720
3461	3470	420095631
3471	3480	425209840
3481	3490	430374735
3491	3500	435590705
3501	3510	440858141
3511	3520	446177439
3521	3530	451548993
3531	3540	456973201
3541	3550	462450464
3551	3560	467981183
3561	3570	473565764
3571	3580	479204611
3581	3590	484898135
3591	3600	490646745
3601	3610	496450855
3611	3620	502310880
3621	3630	508227237
3631	3640	514200345
3641	3650	520230626
3651	3660	526318503
3661	3670	532464404
3671	3680	538668755
3681	3690	544931988
3691	3700	551254534
3701	3710	557636830
3711	3720	564079311
3721	3730	570582417
3731	3740	577146589
3741	3750	583772272
3751	3760	590459911
3761	3770	597209954
3771	3780	604022852
3781	3790	610899059
3791	3800	617839027
3801	3810	624843216
3811	3820	631912085
3821	3830	639046095
3831	3840	646245711
3841	3850	653511400
3851	3860	660843629
3861	3870	668242870
3871	3880	675709597
3881	3890	683244286
3891	3900	690847413
3901	3910	698519461
3911	3920	706260911
3921	3930	714072249
3931	3940	721953961
3941	3950	729906539
3951	3960	737930474
3961	3970	746026261
3971	3980	754194397
3981	3990	762435380
3991	4000	770749713
4001	4010	779137900
4011	4020	787600448
4021	4030	796137865
4031	4040	804750662
4041	4050	813439354
4051	4060	822204457
4061	4070	831046488
4071	4080	839965971
4081	4090	848963427
4091	4100	858039382
4101	4110	867194367
4111	4120	876428910
4121	4130	885743545
4131	4140	895138809
4141	4150	904615240
4151	4160	914173378
4161	4170	923813767
4171	4180	933536952
4181	4190	943343482
4191	4200	953233908
4201	4210	963208783
4211	4220	973268662
4221	4230	983414105
4231	4240	993645672
4241	4250	1003963926
4251	4260	1014369434
4261	4270	1024862764
4271	4280	1035444488
4281	4290	1046115178
4291	4300	1056875411
4301	4310	1067725767
4311	4320	1078666825
4321	4330	1089699172
4331	4340	1100823392
4341	4350	1112040075
4351	4360	1123349814
4361	4370	1134753201
4371	4380	1146250836
4381	4390	1157843316
4391	4400	1169531245
4401	4410	1181315227
4411	4420	1193195871
4421	4430	1205173785
4431	4440	1217249584
4441	4450	1229423882
4451	4460	1241697297
4461	4470	1254070452
4471	4480	1266543969
4481	4490	1279118474
4491	4500	1291692979
4501	4510	1304267484
4511	4520	1316841989
4521	4530	1329416494
4531	4540	1341990999
4541	4550	1354565504
4551	4560	1367140009
4561	4570	1379714514
4571	4580	1392289019
4581	4590	1404863524
4591	4600	1417438029
4601	4610	1430012534
4611	4620	1442587039
4621	4630	1455161544
4631	4640	1467736049
4641	4650	1480310554
4651	4660	1492885059
4661	4670	1505459564
4671	4680	1518034069
4681	4690	1530608574
4691	4700	1543183079
4701	4710	1555757584
4711	4720	1568332089
4721	4730	1580906594
4731	4740	1593481099
4741	4750	1606055604
4751	4760	1618630109
4761	4770	1631204614
4771	4780	1643779119
4781	4790	1656353624
4791	4800	1668928129
4801	4810	1681502634
4811	4820	1694077139
4821	4830	1706651644
4831	4840	1719226149
4841	4850	1731800654
4851	4860	1744375159
4861	4870	1756949664
4871	4880	1769524169
4881	4890	1782098674
4891	4900	1794673179
4901	4910	1807247684
4911	4920	1819822189
4921	4930	1832396694
4931	4940	1844971199
4941	4950	1857545704
4951	4960	1870120209
4961	4970	1882694714
4971	4980	1895269219
4981	4990	1907843724
4991	5000	1920418229
5001	5010	1932992734
5011	5020	1945567239
5021	5030	1958141744
5031	5040	1970716249
5041	5050	1983290754
5051	5060	1995865259
5061	5070	2008439764
5071	5080	2021014269
5081	5090	2033588774
5091	5100	2046163279
5101	5110	2058737784
5111	5120	2071312289
5121	5130	2083886794
5131	5140	2096461299
5141	5150	2109035804
5151	5160	2121610309
5161	5170	2134184814
5171	5180	2146759319
5181	5190	2159333824
5191	5200	2171908329
5201	5210	2184482834
5211	5220	2197057339
5221	5230	2209631844
5231	5240	2222206349
5241	5250	2234780854
5251	5260	2247355359
5261	5270	2259929864
5271	5280	2272504369
5281	5290	2285078874
5291	5300	2297653379
5301	5310	2310227884
5311	5320	2322802389
5321	5330	2335376894
5331	5340	2347951399
5341	5350	2360525904
5351	5360	2373100409
5361	5370	2385674914
5371	5380	2398249419
5381	5390	2410823924
5391	5400	2423398429
5401	5410	2435972934
5411	5420	2448547439
5421	5430	2461121944
