type	rank	point	money	goods1	goods2	goods3	goods4
奖励类型	排名	元宝	游戏币	物品ID1	物品ID2	物品ID3	物品ID4
1	1	0	0	1045000031:1:3	1045000507:1:3	1045000608:1:3	1045000275:3:3
1	2	0	0	1045000022:1:3	1045000501:1:3	1045000602:1:3	1045000275:2:3
1	3	0	0	1045000014:1:3	1045000500:1:3	1045000601:1:3	1045000258:7:3
1	4	0	0	1045000006:1:0	1045000183:1:3	1045000185:1:3	1045000258:5:3
1	5	0	0	1045000006:1:0	1045000183:1:3	1045000185:1:3	1045000258:5:3
1	6	0	0	1045000006:1:0	1045000183:1:3	1045000185:1:3	1045000258:5:3
1	7	0	0	1045000006:1:0	1045000183:1:3	1045000185:1:3	1045000258:5:3
1	8	0	0	1045000006:1:0	1045000183:1:3	1045000185:1:3	1045000258:5:3
1	9	0	0	1045000006:1:0	1045000183:1:3	1045000185:1:3	1045000258:5:3
1	10	0	0	1045000006:1:0	1045000183:1:3	1045000185:1:3	1045000258:5:3
2	1	0	0	1045012001:1:3	1045012003:1:3	0:0:0	0:0:0
2	2	0	0	1045012001:1:3	1045012003:1:3	0:0:0	0:0:0
2	3	0	0	1045012001:1:3	1045012003:1:3	0:0:0	0:0:0
3	1	0	0	1045000145:1:0	0:0:0	0:0:0	0:0:0
3	2	0	0	1045000146:1:0	0:0:0	0:0:0	0:0:0
3	3	0	0	1045000147:1:0	0:0:0	0:0:0	0:0:0
3	4	0	0	1045000148:1:0	0:0:0	0:0:0	0:0:0
4	1	0	0	1045013105:1:3	0:0:0	0:0:0	0:0:0
4	2	0	0	1045013106:1:3	0:0:0	0:0:0	0:0:0
4	3	0	0	1045013107:1:2	0:0:0	0:0:0	0:0:0
4	4	0	0	1045013108:1:2	0:0:0	0:0:0	0:0:0
4	5	0	0	1045013109:1:1	0:0:0	0:0:0	0:0:0
