id	212	minMoney	maxMoney	propId	dropRate	minNumber	maxNumber																																																																																																																																																																																																																																
组ID	掉钱数	最小钱	最大钱	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数
				素材之星·天上				素材之星·天下				邪恶足球				邪恶手枪				邪恶针筒				邪恶墨镜				破损护腕				破损肩章				破损腕饰				破损手镯				超大型生命药水				超大型精力药水				回旋踢（一级）				生锈火箭筒射击（二级）				急救（二级）				意识流（一级）				月亮使者宝石				月亮使者宝石				古寺之夜				形象进化宝石				四百点宠物经验包				四百点宠物玩具																																																																																																																																															
800001	0	0	0	1042200101	200	1	1	1042200201	25	1	1	1050007001	250	1	1	1050005001	250	1	1	1050010001	250	1	1	1050011001	250	1	1	1050502017	250	1	1	1050501017	250	1	1	1050503017	250	1	1	1050504017	250	1	1	1041010005	1500	1	5	1041020005	1500	1	5	1044070207	250	1	1	1044050002	250	1	1	1044030002	250	1	1	1044110501	250	1	1	1045010101	250	1	1	1045010102	250	1	1	1050900029	495	1	1	1045011002	100	1	1	1045000004	1480	1	1	1045000079	1200	1	1																																																																																																																																												
				素材之星·天上				素材之星·天下				刁蛮足球				刁蛮手枪				刁蛮针筒				刁蛮墨镜				刁蛮护腕				刁蛮肩章				刁蛮腕饰				刁蛮手镯				超大型生命药水				超大型精力药水				流星火球（二级）				战斗号角（二级）				飞针（一级）				人体学（二级）				魔幻飞牌（二级）				刁蛮神女宝石				刁蛮神女宝石				星悬月				形象进化宝石				四百点宠物经验包				四百点宠物玩具				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																																							
800002	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050007002	250	1	1	1050005002	250	1	1	1050010002	250	1	1	1050011002	250	1	1	1050502001	250	1	1	1050501001	250	1	1	1050503001	250	1	1	1050504001	250	1	1	1041010005	100	1	2	1041020005	100	1	2	1044070403	200	1	1	1044050107	200	1	1	1044100001	200	1	1	1044030702	200	1	1	1044110201	200	1	1	1045010113	250	1	1	1045010114	250	1	1	1050900028	500	1	1	1045011002	100	1	1	1045000004	950	1	1	1045000079	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																																				
				素材之星·天上				素材之星·天下				混沌运动服				混沌风衣				混沌制服				混沌牛仔服				超大型生命药水				超大型精力药水				回旋踢（二级）				生锈火箭筒射击（三级）				急救（三级）				意识流（二级）				混沌神怪宝石				混沌神怪宝石				遥远视觉				形象进化宝石				四百点宠物经验包				四百点宠物玩具				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																																																											
800003	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050202002	500	1	1	1050201002	500	1	1	1050203002	500	1	1	1050204002	500	1	1	1041010005	100	1	1	1041020005	100	1	1	1044070201	250	1	1	1044050003	250	1	1	1044030003	250	1	1	1044110502	250	1	1	1045010125	250	1	1	1045010126	250	1	1	1050900027	500	1	1	1045011002	100	1	1	1045000004	950	1	1	1045000079	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																																																								
				素材之星·天上				素材之星·天下				妖姬运动短裤				妖姬西裤				妖姬休闲裤				妖姬牛仔裤				特效生命药水				特效精力药水				流星火球（三级）				铲射（一级）				战斗号角（三级）				导弹追踪（一级）				人体学（三级）				魔幻飞牌（三级）				飞骰冲击（一级）				静脉注射（一级）				血红妖姬宝石				血红妖姬宝石				风花雪月				形象进化宝石				四百点宠物经验包				四百点宠物玩具				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																																											
800004	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050302003	500	1	1	1050301003	500	1	1	1050303003	500	1	1	1050304003	500	1	1	1041010006	100	1	1	1041020006	100	1	1	1044070401	125	1	1	1044070301	125	1	1	1044050101	125	1	1	1044050301	125	1	1	1044030703	125	1	1	1044110202	125	1	1	1044110601	125	1	1	1044100201	125	1	1	1045010137	250	1	1	1045010138	250	1	1	1050900026	500	1	1	1045011002	100	1	1	1045000004	950	1	1	1045000079	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																																								
				素材之星·天上				素材之星·天下				地精王运动鞋				地精王皮鞋				地精王短靴				地精王板鞋				地精王手套				地精王皮手套				地精王橡胶手套				地精王霹雳手套				特效生命药水				特效精力药水				回旋踢（三级）				生锈火箭筒射击（四级）				爆炸汽油弹（一级）				急救（四级）				飞针（二级）				小李飞刀（一级）				意识流（三级）				嗜睡地精王宝石				嗜睡地精王宝石				随风飘落				形象进化宝石				四百点宠物经验包				四百点宠物玩具				十点荣誉值兑换道具				一百点荣誉值兑换道具				奇妙宝石				素材之星·天地				奇妙精华																																																																																																															
800005	0	0	0	1042200101	600	1	1	1042200201	300	1	1	1050402004	250	1	1	1050401004	250	1	1	1050403004	250	1	1	1050404004	250	1	1	1050602004	250	1	1	1050601004	250	1	1	1050603004	250	1	1	1050604004	250	1	1	1041010006	100	1	2	1041020006	100	1	2	1044070202	148	1	1	1044050004	142	1	1	1044060001	142	1	1	1044030004	142	1	1	1044100002	142	1	1	1044100401	142	1	1	1044110503	142	1	1	1045010149	250	1	1	1045010150	250	1	1	1050900025	500	1	1	1045011002	100	1	1	1045000004	950	1	1	1045000079	500	1	1	1045000257	1000	2	2	1045000258	200	1	1	1042010102	1250	1	1	1042200301	100	1	1	1045000229	800	1	1																																																																																																												
