id	minLevel	maxLevel	type	boxType	rate	qualityRate
掉宝组ID	最低等级 	最高等级	类型	宝箱类型	几率(备用)	品质几率
900001	0	0	9	0	0	0:0:0:0:0:0:0
900002	0	0	9	0	0	0:0:0:10000:0:0:0
900003	0	0	9	0	0	0:0:0:10000:0:0:0
900004	0	0	9	0	0	0:0:0:10000:0:0:0
900005	0	0	9	0	0	0:0:0:10000:0:0:0
900006	0	0	9	0	0	0:0:0:10000:0:0:0
900007	0	0	9	0	0	0:0:0:10000:0:0:0
900008	0	0	9	0	0	0:0:0:0:0:0:0
900009	0	0	9	0	0	0:0:0:0:0:0:0
900010	0	0	9	0	0	0:0:0:0:0:0:0
900011	0	0	9	0	0	0:0:0:0:0:0:0
900012	0	0	9	0	0	0:0:0:0:0:0:0
900013	0	0	9	0	0	0:0:0:0:0:0:0
900014	0	0	9	0	0	0:0:0:0:0:0:0
900015	0	0	9	0	0	0:0:0:0:0:0:0
900016	0	0	9	0	0	0:0:0:0:0:0:0
900017	0	0	9	0	0	0:0:0:0:0:0:0
900018	0	0	9	0	0	0:0:0:0:0:0:0
900019	0	0	9	0	0	0:0:0:0:0:0:0
900020	0	0	9	0	0	0:10000:0:0:0:0:0
900021	0	0	9	0	0	0:10000:0:0:0:0:0
900022	0	0	9	0	0	0:10000:0:0:0:0:0
900023	0	0	9	0	0	0:10000:0:0:0:0:0
900024	0	0	9	0	0	0:0:0:0:0:0:0
900025	0	0	9	0	0	0:0:0:0:0:0:0
900026	0	0	9	0	0	0:0:0:0:0:0:0
900027	0	0	9	0	0	0:0:0:0:0:0:0
900028	0	0	9	0	0	0:0:0:0:0:0:0
900029	0	0	9	0	0	0:0:0:0:0:0:0
900030	0	0	9	0	0	0:0:0:0:0:0:0
600001	1	50	6	0	0	3000:6500:500:0:0:0
600002	51	100	6	0	0	3000:6500:500:0:0:0
600003	101	150	6	0	0	3000:6500:500:0:0:0
600004	151	200	6	0	0	3000:6500:500:0:0:0
600005	201	250	6	0	0	3000:6500:500:0:0:0
600006	251	300	6	0	0	3000:6500:500:0:0:0
600007	301	350	6	0	0	3000:6500:500:0:0:0
600008	351	400	6	0	0	3000:6500:500:0:0:0
600009	401	450	6	0	0	3000:6500:500:0:0:0
600010	451	500	6	0	0	3000:6500:500:0:0:0
600011	501	550	6	0	0	3000:6500:500:0:0:0
600012	551	600	6	0	0	3000:6500:500:0:0:0
600013	601	650	6	0	0	3000:6500:500:0:0:0
600014	651	700	6	0	0	3000:6500:500:0:0:0
600015	701	750	6	0	0	3000:6500:500:0:0:0
600016	751	800	6	0	0	3000:6500:500:0:0:0
600017	801	850	6	0	0	3000:6500:500:0:0:0
600018	851	900	6	0	0	3000:6500:500:0:0:0
600019	901	950	6	0	0	3000:6500:500:0:0:0
600020	951	1000	6	0	0	3000:6500:500:0:0:0
600021	1001	1050	6	0	0	3000:6500:500:0:0:0
600022	1051	1100	6	0	0	3000:6500:500:0:0:0
600023	1101	1150	6	0	0	3000:6500:500:0:0:0
600024	1151	1200	6	0	0	3000:6500:500:0:0:0
600025	1201	1250	6	0	0	3000:6500:500:0:0:0
600026	1251	1300	6	0	0	3000:6500:500:0:0:0
600027	1301	1350	6	0	0	3000:6500:500:0:0:0
600028	1351	1400	6	0	0	3000:6500:500:0:0:0
600029	1401	1450	6	0	0	3000:6500:500:0:0:0
600030	1451	1500	6	0	0	3000:6500:500:0:0:0
600031	1501	1550	6	0	0	3000:6500:500:0:0:0
600032	1551	1600	6	0	0	3000:6500:500:0:0:0
600033	1601	1650	6	0	0	3000:6500:500:0:0:0
600034	1651	1700	6	0	0	3000:6500:500:0:0:0
600035	1701	1750	6	0	0	3000:6500:500:0:0:0
600036	1751	1800	6	0	0	3000:6500:500:0:0:0
600037	1801	1850	6	0	0	3000:6500:500:0:0:0
600038	1851	1900	6	0	0	3000:6500:500:0:0:0
600039	1901	1950	6	0	0	3000:6500:500:0:0:0
600040	1951	2000	6	0	0	3000:6500:500:0:0:0
600041	2001	2050	6	0	0	3000:6500:500:0:0:0
600042	2051	2100	6	0	0	3000:6500:500:0:0:0
600043	2101	2150	6	0	0	3000:6500:500:0:0:0
600044	2151	2200	6	0	0	3000:6500:500:0:0:0
600045	2201	2250	6	0	0	3000:6500:500:0:0:0
600046	2251	2300	6	0	0	3000:6500:500:0:0:0
600047	2301	2350	6	0	0	3000:6500:500:0:0:0
600048	2351	2400	6	0	0	3000:6500:500:0:0:0
600049	2401	2450	6	0	0	3000:6500:500:0:0:0
600050	2451	2500	6	0	0	3000:6500:500:0:0:0
600051	2501	2550	6	0	0	3000:6500:500:0:0:0
600052	2551	2600	6	0	0	3000:6500:500:0:0:0
600053	2601	2650	6	0	0	3000:6500:500:0:0:0
600054	2651	2700	6	0	0	3000:6500:500:0:0:0
600055	2701	2750	6	0	0	3000:6500:500:0:0:0
600056	2751	2800	6	0	0	3000:6500:500:0:0:0
600057	2801	2850	6	0	0	3000:6500:500:0:0:0
600058	2851	2900	6	0	0	3000:6500:500:0:0:0
600059	2901	2950	6	0	0	3000:6500:500:0:0:0
600060	2951	3000	6	0	0	3000:6500:500:0:0:0
600061	3001	3050	6	0	0	3000:6500:500:0:0:0
600062	3051	3100	6	0	0	3000:6500:500:0:0:0
600063	3101	3150	6	0	0	3000:6500:500:0:0:0
600064	3151	3200	6	0	0	3000:6500:500:0:0:0
600065	3201	3250	6	0	0	3000:6500:500:0:0:0
600066	3251	3300	6	0	0	3000:6500:500:0:0:0
600067	3301	3350	6	0	0	3000:6500:500:0:0:0
600068	3351	3400	6	0	0	3000:6500:500:0:0:0
600069	3401	3450	6	0	0	3000:6500:500:0:0:0
600070	3451	3500	6	0	0	3000:6500:500:0:0:0
600071	3501	3550	6	0	0	3000:6500:500:0:0:0
600072	3551	3600	6	0	0	3000:6500:500:0:0:0
600073	3601	3650	6	0	0	3000:6500:500:0:0:0
600074	3651	3700	6	0	0	3000:6500:500:0:0:0
600075	3701	3750	6	0	0	3000:6500:500:0:0:0
600076	3751	3800	6	0	0	3000:6500:500:0:0:0
600077	3801	3850	6	0	0	3000:6500:500:0:0:0
600078	3851	3900	6	0	0	3000:6500:500:0:0:0
600079	3901	3950	6	0	0	3000:6500:500:0:0:0
600080	3951	4000	6	0	0	3000:6500:500:0:0:0
600081	4001	4050	6	0	0	3000:6500:500:0:0:0
600082	4051	4100	6	0	0	3000:6500:500:0:0:0
600083	4101	4150	6	0	0	3000:6500:500:0:0:0
600084	4151	4200	6	0	0	3000:6500:500:0:0:0
600085	4201	4250	6	0	0	3000:6500:500:0:0:0
600086	4251	4300	6	0	0	3000:6500:500:0:0:0
600087	4301	4350	6	0	0	3000:6500:500:0:0:0
600088	4351	4400	6	0	0	3000:6500:500:0:0:0
600089	4401	4450	6	0	0	3000:6500:500:0:0:0
600090	4451	4500	6	0	0	3000:6500:500:0:0:0
600091	4501	4550	6	0	0	3000:6500:500:0:0:0
600092	4551	4600	6	0	0	3000:6500:500:0:0:0
600093	4601	4650	6	0	0	3000:6500:500:0:0:0
600094	4651	4700	6	0	0	3000:6500:500:0:0:0
600095	4701	4750	6	0	0	3000:6500:500:0:0:0
600096	4751	4800	6	0	0	3000:6500:500:0:0:0
600097	4801	4850	6	0	0	3000:6500:500:0:0:0
