id	name	level	priority	influenceType	buffType	dataType	dataPattern	effectPoint	dealMode	isOutBattle	duration	interval	type	cureType	haloType
效果编号	效果名称	效果等级	优先级	持续总类别	buff类型	操作类型	数据类型	效果值	累计模式	是否带出战斗	持续时间	作用次数	Buff类别	治疗值影响	是否光环
1033010108	躯干盘球练习	1	1	1	1	phsSmiteRate:0:0	1:0:0	10:0:0	3:0:0	1	1800000	0	46	0	0
1033010109	躯干盘球练习	2	2	1	1	phsSmiteRate:0:0	1:0:0	11:0:0	3:0:0	1	1800000	0	46	0	0
1033010110	躯干盘球练习	3	3	1	1	phsSmiteRate:0:0	1:0:0	12:0:0	3:0:0	1	1800000	0	46	0	0
1033010116	躯干盘球练习	4	4	1	1	phsSmiteRate:0:0	1:0:0	13:0:0	3:0:0	1	1800000	0	46	0	0
1033010501	运动天赋	1	1	1	1	phySmiteHurtParm:0:0	1:0:0	2000:0:0	0:0:0	2	15000	0	5	0	0
1033010502	运动天赋	2	2	1	1	phySmiteHurtParm:0:0	1:0:0	4000:0:0	3:0:0	2	15000	0	5	0	0
1033010503	运动天赋	3	3	1	1	phySmiteHurtParm:0:0	1:0:0	6000:0:0	3:0:0	2	15000	0	5	0	0
1033010504	运动天赋	4	4	1	1	phySmiteHurtParm:0:0	1:0:0	8000:0:0	3:0:0	2	15000	0	5	0	0
1033010801	战斗号角	1	1	1	1	phsAtt:sptAtt:0	1:1:0	200:200:0	3:3:0	1	600000	0	9	1	0
1033010802	战斗号角	2	2	1	1	phsAtt:sptAtt:0	1:1:0	400:400:0	3:3:0	1	600000	0	9	1	0
1033010803	战斗号角	3	3	1	1	phsAtt:sptAtt:0	1:1:0	600:600:0	3:3:0	1	600000	0	9	1	0
1033010804	战斗号角	4	4	1	1	phsAtt:sptAtt:0	1:1:0	800:800:0	3:3:0	1	600000	0	9	1	0
1033010805	战斗号角	5	5	1	1	phsAtt:sptAtt:0	1:1:0	1000:1000:0	3:3:0	1	600000	0	9	1	0
1033010806	战斗号角	6	6	1	1	phsAtt:sptAtt:0	1:1:0	1200:1200:0	3:3:0	1	600000	0	9	1	0
1033010807	战斗号角	7	7	1	1	phsAtt:sptAtt:0	1:1:0	1400:1400:0	3:3:0	1	600000	0	9	1	0
1033010808	战斗号角	8	8	1	1	phsAtt:sptAtt:0	1:1:0	1600:1600:0	3:3:0	1	600000	0	9	1	0
1033010809	战斗号角	9	9	1	1	phsAtt:sptAtt:0	1:1:0	1800:1800:0	3:3:0	1	600000	0	9	1	0
1033010810	战斗号角	10	10	1	1	phsAtt:sptAtt:0	1:1:0	2000:2000:0	3:3:0	1	600000	0	9	1	0
1033012901	野性激发	11	11	1	1	phsAtt:sptAtt:0	1:1:0	2200:2200:0	3:3:0	1	600000	0	9	1	0
1033012902	野性激发	12	12	1	1	phsAtt:sptAtt:0	1:1:0	2400:2400:0	3:3:0	1	600000	0	9	1	0
1033012903	野性激发	13	13	1	1	phsAtt:sptAtt:0	1:1:0	2600:2600:0	3:3:0	1	600000	0	9	1	0
1033012904	野性激发	14	14	1	1	phsAtt:sptAtt:0	1:1:0	2800:2800:0	3:3:0	1	600000	0	9	1	0
1033012905	野性激发	15	15	1	1	phsAtt:sptAtt:0	1:1:0	3000:3000:0	3:3:0	1	600000	0	9	1	0
1033012906	野性激发	16	16	1	1	phsAtt:sptAtt:0	1:1:0	3200:3200:0	3:3:0	1	600000	0	9	1	0
1033012907	野性激发	17	17	1	1	phsAtt:sptAtt:0	1:1:0	3400:3400:0	3:3:0	1	600000	0	9	1	0
1033012908	野性激发	18	18	1	1	phsAtt:sptAtt:0	1:1:0	3600:3600:0	3:3:0	1	600000	0	9	1	0
1033012909	野性激发	19	19	1	1	phsAtt:sptAtt:0	1:1:0	3800:3800:0	3:3:0	1	600000	0	9	1	0
1033012910	野性激发	20	20	1	1	phsAtt:sptAtt:0	1:1:0	4000:4000:0	3:3:0	1	600000	0	9	1	0
1033012911	超级野性激发	10	10	1	1	phsAtt:sptAtt:0	1:1:0	2000:2000:0	3:3:0	1	600000	0	9	1	0
1033012912	超级野性激发	20	20	1	1	phsAtt:sptAtt:0	1:1:0	4000:4000:0	3:3:0	1	600000	0	9	1	0
1033012913	超级野性	20	20	1	1	phsAtt:sptAtt:0	1:1:0	4000:4000:0	3:3:0	1	600000	0	9	1	0
1033012914	林之野性	15	15	1	1	phsAtt:sptAtt:0	1:1:0	3000:3000:0	3:3:0	1	600000	0	9	1	0
1033012915	风之野性	10	10	1	1	phsAtt:sptAtt:0	1:1:0	2000:2000:0	3:3:0	1	600000	0	9	1	0
1033012916	火之野性	15	15	1	1	phsAtt:sptAtt:0	1:1:0	3000:3000:0	3:3:0	1	600000	0	9	1	0
1033010901	特种兵体能训练	1	1	1	1	battleMaxHP:0:0	2:0:0	20:0:0	3:0:0	1	600000	0	11	0	0
1033010902	特种兵体能训练	2	2	1	1	battleMaxHP:0:0	2:0:0	25:0:0	3:0:0	1	600000	0	11	0	0
1033010903	特种兵体能训练	3	3	1	1	battleMaxHP:0:0	2:0:0	30:0:0	3:0:0	1	600000	0	11	0	0
1033010904	特种兵体能训练	4	4	1	1	battleMaxHP:0:0	2:0:0	35:0:0	3:0:0	1	600000	0	11	0	0
1033010905	特种兵体能训练	5	5	1	1	battleMaxHP:0:0	2:0:0	40:0:0	3:0:0	1	600000	0	11	0	0
1033010906	超级特种兵	5	5	1	1	battleMaxHP:0:0	2:0:0	40:0:0	3:0:0	1	600000	0	11	0	0
1033010910	超级特种兵体能	5	5	1	1	battleMaxHP:0:0	2:0:0	40:0:0	3:0:0	1	600000	0	11	0	0
1033010907	风之斗气	1	1	1	1	battleMaxHP:0:0	2:0:0	20:0:0	3:0:0	1	600000	0	11	0	0
1033010908	火之斗气	3	3	1	1	battleMaxHP:0:0	2:0:0	30:0:0	3:0:0	1	600000	0	11	0	0
1033010909	林之斗气	5	5	1	1	battleMaxHP:0:0	2:0:0	40:0:0	3:0:0	1	600000	0	11	0	0
1033011301	抗生素注射	1	1	1	1	physique:0:0	1:0:0	40:0:0	3:0:0	1	1800000	0	12	0	0
