id	name	level	type	dataType	dataPattern	effectPoint	cureType
编号	名称	等级	类型	操作变量	数值类型	具体值	治疗值影响
1034020101	100%攻击	1	1	1	2	-100	0
1034020102	90%攻击	1	1	1	2	-90	0
1034020103	110%攻击	1	1	1	2	-110	0
1034020104	120%攻击	1	1	1	2	-120	0
1034020105	145%攻击	1	1	1	2	-145	0
1034020106	70%攻击	1	1	1	2	-70	0
1034020107	105%攻击	1	1	1	2	-105	0
1034020108	115%攻击	1	1	1	2	-115	0
1034020109	60%攻击	1	1	1	2	-60	0
1034020110	155%攻击	1	1	1	2	-155	0
1034020111	165%攻击	1	1	1	2	-165	0
1034020112	65%攻击	1	1	1	2	-65	0
1034020113	175%攻击	1	1	1	2	-175	0
1034020114	185%攻击	1	1	1	2	-185	0
1034020115	85%攻击	1	1	1	2	-85	0
1034020116	80%攻击	1	1	1	2	-80	0
1034020117	55%攻击	1	1	1	2	-55	0
1034020118	95%攻击	1	1	1	2	-95	0
1034020119	125%攻击	1	1	1	2	-125	0
1034020120	140%攻击	1	1	1	2	-140	0
1034020121	180%攻击	1	1	1	2	-180	0
1034020122	130%攻击	1	1	1	2	-130	0
1034020123	50%攻击	1	1	1	2	-50	0
1034020124	75%攻击	1	1	1	2	-75	0
1034020125	135%攻击	1	1	1	2	-135	0
1034020126	150%攻击	1	1	1	2	-150	0
1034020127	160%攻击	1	1	1	2	-160	0
1034020128	170%攻击	1	1	1	2	-170	0
1034020129	40%攻击	1	1	1	2	-40	0
1034020130	45%攻击	1	1	1	2	-45	0
1034020131	300%攻击	1	1	1	2	-300	0
1034020132	200%攻击	1	1	1	2	-200	0
1034020133	195%攻击	1	1	1	2	-195	0
1034020134	190%攻击	1	1	1	2	-190	0
1034020135	210%攻击	1	1	1	2	-210	0
1034020136	220%攻击	1	1	1	2	-220	0
1034020137	240%攻击	1	1	1	2	-240	0
1034020138	260%攻击	1	1	1	2	-260	0
1034020139	230%攻击	1	1	1	2	-230	0
1034020140	250%攻击	1	1	1	2	-250	0
1034020141	270%攻击	1	1	1	2	-270	0
1034020142	290%攻击	1	1	1	2	-290	0
1034020143	305%攻击	1	1	1	2	-305	0
1034020144	310%攻击	2	1	1	2	-310	0
1034020145	315%攻击	3	1	1	2	-315	0
1034020146	320%攻击	4	1	1	2	-320	0
1034020147	225%攻击	1	1	1	2	-225	0
1034020148	235%攻击	2	1	1	2	-235	0
1034020149	245%攻击	3	1	1	2	-245	0
1034020150	255%攻击	4	1	1	2	-255	0
1034020151	205%攻击	1	1	1	2	-205	0
1034020152	265%攻击	2	1	1	2	-265	0
1034020153	275%攻击	1	1	1	2	-275	0
1034020154	280%攻击	1	1	1	2	-280	0
1034020155	285%攻击	1	1	1	2	-285	0
1034020156	215%攻击	1	1	1	2	-215	0
1034020157	295%攻击	1	1	1	2	-295	0
1034020158	330%攻击	1	1	1	2	-330	0
1034020159	340%攻击	1	1	1	2	-340	0
1034020160	189%攻击	1	1	1	2	-189	0
1034020161	193%攻击	1	1	1	2	-193	0
1034020162	197%攻击	1	1	1	2	-197	0
1034020163	201%攻击	1	1	1	2	-201	0
1034020164	209%攻击	1	1	1	2	-209	0
1034020165	184%攻击	1	1	1	2	-184	0
1034020166	188%攻击	1	1	1	2	-188	0
1034020167	192%攻击	1	1	1	2	-192	0
1034020168	196%攻击	1	1	1	2	-196	0
1034020169	204%攻击	1	1	1	2	-204	0
1034020170	213%攻击	1	1	1	2	-213	0
1034020171	217%攻击	1	1	1	2	-217	0
1034020172	221%攻击	1	1	1	2	-221	0
1034020173	229%攻击	1	1	1	2	-229	0
1034020174	208%攻击	1	1	1	2	-208	0
1034020175	212%攻击	1	1	1	2	-212	0
1034020176	216%攻击	1	1	1	2	-216	0
1034020177	224%攻击	1	1	1	2	-224	0
1034020178	325%攻击	1	1	1	2	-325	0
1034020179	335%攻击	1	1	1	2	-335	0
1034020180	345%攻击	1	1	1	2	-345	0
1034020181	350%攻击	1	1	1	2	-350	0
1034020182	355%攻击	1	1	1	2	-355	0
