id	name	level	type	iconId	minQuality	maxQuality	point	token	money	repeatNumber	bindMode	remark	eType	job	equipLocation	equipType	equipLevel	maxEquipLevel	phyAtt	phyAttRate	sptAtt	sptAttRate	phyDefWhite	phyDefGreen	phyDefBlue	phyDefPurple	phyDefRate	sptDefWhite	sptDefGreen	sptDefBlue	sptDefPurple	sptDefRate	modValueWhite	modValueGreen	power	agility	spirit	wisdom	lifePoint	magicPoint	curePoint	phySmiteRate	sptSmiteRate	phySmiteParm	sptSmiteParm	phyHurtAvoid	sptHurtAvoid	clearPhySmite	clearSptSmite	clearPhySmiteParm	clearSptSmiteParm	taskColor	modelId	startLevel	phyAttExt	sptAttExt	powerExt	agilityExt	spiritExt	wisdomExt	lifePointExt	magicPointExt	curePointExt	phySmiteRateExt	sptSmiteRateExt	phyHurtAvoidExt	sptHurtAvoidExt	phySmiteParmExt	sptSmiteParmExt	isVIP	adornBackgroud	isDel 
编号	名称	需求等级	道具类别	美术资源ID	最低品质	最高品质	游戏中价值	代金(rmb)价格	元宝	每组堆叠数量	绑定模式	文字描述	结婚判断	所属职业	装备位置	武器类别	装备等级	最大装备等级	物理攻击（基础）	物理攻击成长	精神攻击（基础）	精神攻击成长	物理防御（白）	物理防御（绿）	物理防御（蓝）	物理防御（紫）	物理防御成长	精神防御（白）	精神防御（绿）	精神防御（蓝）	精神防御（紫）	精神防御成长	修正值（白）	修正值（绿）	力量	敏捷	精神	智慧	生命	精力	治疗值	物理爆击率	精神爆击率	物理爆击伤害倍率	精神爆击伤害倍率	物理免伤	精神免伤	抗物理暴击率	抗精神爆击率	抗物理爆击伤害倍率	抗精神爆击伤害倍率	任务生成品质	对应形象ID	装备星级	物理攻击追加	精神攻击追加	力量追加	敏捷追加	精神追加	智慧追加	生命追加	精力追加	辅助值追加	物理爆击率追加	精神爆击率追加	物理免伤追加精神免伤追加		物理爆击伤害倍率	精神爆击伤害倍率	是否vip	背景id	能否丢弃
1050007001	邪恶足球	100	1	1150007001	0	5	100	0	0	1	0	0	0	7:14:18	0	1	1	10	350	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	1:20	1:20	1:8	1:8	1:8	1:8	1:400	1:400	50:100	0:0	0:0	1:8	1:8	0:0	0:0	0	0	1
1050007002	刁蛮足球	100	1	1150007002	0	5	1000	0	0	1	0	0	0	7:14:18	0	1	1	10	400	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	1:40	1:40	1:14	1:14	1:14	1:14	1:520	1:520	50:120	0:0	0:0	1:14	1:14	0:0	0:0	0	0	1
1050007003	混沌足球	150	1	1150007003	0	5	2000	0	0	1	0	0	0	7:14:18	0	1	1	10	550	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	1:60	1:60	1:20	1:20	1:20	1:20	1:640	1:640	50:140	0:0	0:0	1:20	1:20	0:0	0:0	0	0	1
1050007004	妖姬足球	200	1	1150007004	0	5	4000	0	0	1	0	0	0	7:14:18	0	1	1	10	700	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	1:80	1:80	1:26	1:26	1:26	1:26	1:760	1:760	50:160	0:0	0:0	1:26	1:26	0:0	0:0	0	0	1
1050007005	地精王足球	250	1	1150007005	0	5	9000	0	0	1	0	0	0	7:14:18	0	1	1	10	850	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	1:100	1:100	1:32	1:32	1:32	1:32	1:880	1:880	50:180	0:0	0:0	1:32	1:32	0:0	0:0	0	0	1
1050007006	蛇妖足球	300	1	1150007006	0	5	20000	0	0	1	0	0	0	7:14:18	0	1	1	10	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	2	1:120	1:120	1:38	1:38	1:38	1:38	1:1000	1:1000	50:200	0:0	0:0	1:38	1:38	0:0	0:0	0	0	1
1050007007	嗜血足球	350	1	1150007007	0	5	25000	0	0	1	0	0	0	7:14:18	0	1	1	10	1150	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	2	1:140	1:140	1:44	1:44	1:44	1:44	1:1120	1:1120	50:220	0:0	0:0	1:44	1:44	0:0	0:0	0	0	1
1050007008	炫丽足球	400	1	1150007008	0	5	30000	0	0	1	0	0	0	7:14:18	0	1	1	10	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	2	1:160	1:160	1:50	1:50	1:50	1:50	1:1240	1:1240	50:240	0:0	0:0	1:50	1:50	0:0	0:0	0	0	1
1050007009	鞭女王足球	450	1	1150007008	0	5	35000	0	0	1	0	0	0	7:14:18	0	1	1	10	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	2	1:180	1:180	1:56	1:56	1:56	1:56	1:1360	1:1360	50:260	0:0	0:0	1:56	1:56	0:0	0:0	0	0	1
1050007010	金蝙蝠足球	500	1	1150007001	0	5	40000	0	0	1	0	0	0	7:14:18	0	1	1	10	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	1:200	1:200	1:62	1:62	1:62	1:62	1:1480	1:1480	50:280	0:0	0:0	1:62	1:62	0:0	0:0	0	0	1
1050007011	天剑足球	550	1	1150007002	0	5	45000	0	0	1	0	0	0	7:14:18	0	1	1	10	1750	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	1:220	1:220	1:68	1:68	1:68	1:68	1:1600	1:1600	50:300	0:0	0:0	1:68	1:68	0:0	0:0	0	0	1
1050007012	天狱足球	600	1	1150007003	0	5	50000	0	0	1	0	0	0	7:14:18	0	1	1	10	1900	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	1:240	1:240	1:74	1:74	1:74	1:74	1:1720	1:1720	50:320	0:0	0:0	1:74	1:74	0:0	0:0	0	0	1
1050007013	致命足球	650	1	1150007004	0	5	60000	0	0	1	0	0	0	7:14:18	0	1	1	10	2050	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	1:260	1:260	1:80	1:80	1:80	1:80	1:1840	1:1840	50:340	0:0	0:0	1:80	1:80	0:0	0:0	0	0	1
1050007014	黑衣足球	700	1	1150007005	0	5	70000	0	0	1	0	0	0	7:14:18	0	1	1	10	2200	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:280	1:280	1:86	1:86	1:86	1:86	1:1960	1:1960	50:360	0:0	0:0	1:86	1:86	0:0	0:0	0	0	1
1050007015	牛魔王足球	750	1	1150007006	0	5	80000	0	0	1	0	0	0	7:14:18	0	1	1	10	2350	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	4	1:300	1:300	1:92	1:92	1:92	1:92	1:2080	1:2080	50:380	0:0	0:0	1:92	1:92	0:0	0:0	0	0	1
