id	212	minMoney	maxMoney	minHonor	maxHonor	propId	dropRate	minNumber	maxNumber																																																																																																																																																																																																																																
组ID	掉钱数	最小钱	最大钱	最小荣誉	最大荣誉	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数
						超小型生命药水				超小型精力药水																																																																																																																																																																																																																															
10001	3	2	4	0	0	1041010001	350	1	1	1041020001	350	1	1																																																																																																																																																																																																																												
		0	0			超小型生命药水				超小型精力药水																																																																																																																																																																																																																															
10002	4	3	5	0	0	1041010001	350	1	1	1041020001	350	1	1																																																																																																																																																																																																																												
		0	0			超小型生命药水				超小型精力药水																																																																																																																																																																																																																															
10003	5	4	6	0	0	1041010001	350	1	1	1041020001	350	1	1																																																																																																																																																																																																																												
		0	0			超小型生命药水				超小型精力药水																																																																																																																																																																																																																															
10004	6	4	7	0	0	1041010001	350	1	1	1041020001	350	1	1																																																																																																																																																																																																																												
		0	0			小型生命药水				小型精力药水																																																																																																																																																																																																																															
10005	7	5	8	0	0	1041010002	350	1	1	1041020002	350	1	1																																																																																																																																																																																																																												
		0	0			小型生命药水				小型精力药水																																																																																																																																																																																																																															
10006	8	6	10	0	0	1041010002	350	1	1	1041020002	350	1	1																																																																																																																																																																																																																												
		0	0			小型生命药水				小型精力药水																																																																																																																																																																																																																															
10007	9	6	11	0	0	1041010002	350	1	1	1041020002	350	1	1																																																																																																																																																																																																																												
		0	0			小型生命药水				小型精力药水																																																																																																																																																																																																																															
10008	10	7	12	0	0	1041010002	350	1	1	1041020002	350	1	1																																																																																																																																																																																																																												
		0	0			小型生命药水				小型精力药水																																																																																																																																																																																																																															
10009	11	8	13	0	0	1041010002	350	1	1	1041020002	350	1	1																																																																																																																																																																																																																												
		0	0			小型生命药水				小型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10010	12	8	14	0	0	1041010002	350	1	1	1041020002	350	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			小型生命药水				小型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10011	13	9	16	0	0	1041010002	300	1	1	1041020002	300	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			小型生命药水				小型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
10012	14	10	17	0	0	1041010002	280	1	1	1041020002	280	1	1	1041000001	20	1	1	1045000229	50	1	1																																																																																																																																																																																																																				
		0	0			小型生命药水				小型精力药水				回城卷轴				奇妙精华																																																																																																																																																																																																																							
