id	name	monsterNames	monsters	rebirthTime	searchDelay	needGoodsId	needGoodsCount
ID	名字	怪物名称列表	怪物ID列表	刷新频率(毫秒)	选取攻击对象的时间间隔(毫秒)	需要物品	需要数量
1	Lv10 极速荷叶球(魔)	极速月亮使者(魔),极速月亮使者(魔),极速月亮使者(魔),极速月亮使者(魔)	1061001001,1061001001,1061001001,1061001001	0	5000	0	1
2	Lv10 极速荷叶球(魔)	极速月亮使者(魔),极速月亮使者(魔),极速月亮使者(魔),极速月亮使者(魔)	1061001001,1061001001,1061001001,1061001001	0	5000	0	1
3	Lv20 闪电兔(物)	闪电兔(物),闪电兔(物),闪电兔(物),闪电兔(物)	1061001002,1061001002,1061001002,1061001002	0	5000	0	1
4	Lv20 闪电兔(物)	闪电兔(物),闪电兔(物),闪电兔(物),闪电兔(物)	1061001002,1061001002,1061001002,1061001002	0	5000	0	1
5	Lv30 游荡精灵(魔)	游荡精灵(魔),游荡精灵(魔),游荡精灵(魔),游荡精灵(魔)	1061000003,1061000003,1061000003,1061000003	0	5000	0	1
6	Lv30 游荡精灵(魔)	游荡精灵(魔),游荡精灵(魔),游荡精灵(魔),游荡精灵(魔)	1061000003,1061000003,1061000003,1061000003	0	5000	0	1
7	Lv40 发狂荷叶球(物)	发狂月亮使者(物),发狂月亮使者(物),发狂月亮使者(物),发狂月亮使者(物),发狂月亮使者(物)	1061000004,1061000004,1061000004,1061000004,1061000004	0	5000	0	1
8	Lv40 发狂荷叶球(物)	发狂月亮使者(物),发狂月亮使者(物),发狂月亮使者(物),发狂月亮使者(物),发狂月亮使者(物)	1061000004,1061000004,1061000004,1061000004,1061000004	0	5000	0	1
9	Lv50 攻击精灵(魔)	攻击精灵(魔),攻击精灵(魔),攻击精灵(魔),攻击精灵(魔),攻击精灵(魔)	1061001005,1061001005,1061001005,1061001005,1061001005	0	5000	0	1
10	Lv50 攻击精灵(魔)	攻击精灵(魔),攻击精灵(魔),攻击精灵(魔),攻击精灵(魔),攻击精灵(魔)	1061001005,1061001005,1061001005,1061001005,1061001005,1061001005	0	5000	0	1
11	Lv60 狂暴兔(物)	狂暴兔(物),狂暴兔(物),狂暴兔(物),狂暴兔(物),狂暴兔(物),狂暴兔(物)	1061001006,1061001006,1061001006,1061001006,1061001006,1061001006	0	5000	0	1
12	Lv60 狂暴兔(物)	狂暴兔(物),狂暴兔(物),狂暴兔(物),狂暴兔(物),狂暴兔(物),狂暴兔(物)	1061001006,1061001006,1061001006,1061001006,1061001006,1061001006	0	5000	0	1
13	Lv70 变种水球(魔)	变种水球(魔),变种水球(魔),变种水球(魔),变种水球(魔),变种水球(魔),变种水球(魔)	1061000007,1061000007,1061000007,1061000007,1061000007,1061000007	0	5000	0	1
14	Lv70 变种水球(魔)	变种水球(魔),变种水球(魔),变种水球(魔),变种水球(魔),变种水球(魔),变种水球(魔)	1061000007,1061000007,1061000007,1061000007,1061000007,1061000007	0	5000	0	1
15	Lv80 堕落精灵体(物)	堕落精灵体(物),堕落精灵体(物),堕落精灵体(物),堕落精灵体(物),堕落精灵体(物),堕落精灵体(物),堕落精灵体(物),堕落精灵体(物)	1061001008,1061001008,1061001008,1061001008,1061001008,1061001008,1061001008,1061001008	0	5000	0	1
16	Lv80 堕落精灵体(物)	堕落精灵体(物),堕落精灵体(物),堕落精灵体(物),堕落精灵体(物),堕落精灵体(物),堕落精灵体(物),堕落精灵体(物),堕落精灵体(物)	1061001008,1061001008,1061001008,1061001008,1061001008,1061001008,1061001008,1061001008	0	5000	0	1
