level	levelExp	total
等级	升级经验(基准)	总经验
1	0	0
2	5	5
3	5	10
4	6	16
5	6	22
6	7	29
7	8	37
8	10	47
9	12	59
10	15	74
11	18	92
12	22	114
13	27	141
14	32	173
15	39	212
16	46	258
17	54	312
18	63	375
19	74	449
20	85	534
21	98	632
22	111	743
23	127	870
24	143	1013
25	161	1174
26	181	1355
27	202	1557
28	225	1782
29	249	2031
30	275	2306
31	303	2609
32	333	2942
33	365	3307
34	398	3705
35	434	4139
36	472	4611
37	512	5123
38	554	5677
39	598	6275
40	645	6920
41	695	7615
42	746	8361
43	801	9162
44	857	10019
45	917	10936
46	979	11915
47	1044	12959
48	1112	14071
49	1182	15253
50	1256	16509
51	1333	17842
52	1412	19254
53	1495	20749
54	1581	22330
55	1670	24000
56	1763	25763
57	1859	27622
58	1958	29580
59	2061	31641
60	2167	33808
61	2277	36085
62	2391	38476
63	2508	40984
64	2629	43613
65	2754	46367
66	2883	49250
67	3016	52266
68	3153	55419
69	3294	58713
70	3439	62152
71	3588	65740
72	3742	69482
73	3900	73382
74	4062	77444
75	4229	81673
76	4401	86074
77	4577	90651
78	4757	95408
79	4942	100350
80	5132	105482
81	5327	110809
82	5527	116336
83	5732	122068
84	5941	128009
85	6156	134165
86	6376	140541
87	6601	147142
88	6831	153973
89	7067	161040
90	7307	168347
91	7554	175901
92	7806	183707
93	8063	191770
94	8326	200096
95	8595	208691
96	8869	217560
97	9149	226709
98	9435	236144
99	9727	245871
100	10025	255896
101	103290	359186
102	106390	465576
103	109552	575128
104	112776	687904
105	116063	803967
106	119413	923380
107	122827	1046207
108	126306	1172513
109	129850	1302363
110	133460	1435823
111	137136	1572959
112	140880	1713839
113	144691	1858530
114	148570	2007100
115	152518	2159618
116	156536	2316154
117	160623	2476777
118	164782	2641559
119	169011	2810570
120	173313	2983883
121	177687	3161570
122	182135	3343705
123	186656	3530361
124	191251	3721612
125	195922	3917534
126	200668	4118202
127	205491	4323693
128	210390	4534083
129	215367	4749450
130	220421	4969871
131	225555	5195426
132	230767	5426193
133	236060	5662253
134	241433	5903686
135	246888	6150574
136	252424	6402998
137	258042	6661040
138	263744	6924784
139	269529	7194313
140	275398	7469711
141	281352	7751063
142	287392	8038455
143	293518	8331973
144	299730	8631703
145	306030	8937733
146	312417	9250150
147	318894	9569044
148	325459	9894503
149	332114	10226617
150	338860	10565477
151	345696	10911173
152	352625	11263798
153	359645	11623443
154	366758	11990201
155	373965	12364166
156	381266	12745432
157	388662	13134094
158	396153	13530247
159	403740	13933987
160	411424	14345411
161	419205	14764616
162	427084	15191700
163	435061	15626761
164	443137	16069898
165	451313	16521211
166	459590	16980801
167	467967	17448768
168	476446	17925214
169	485027	18410241
170	493711	18903952
171	502498	19406450
172	511390	19917840
173	520386	20438226
174	529488	20967714
175	538695	21506409
176	548009	22054418
177	557431	22611849
178	566960	23178809
179	576597	23755406
180	586344	24341750
181	596201	24937951
182	606167	25544118
183	616245	26160363
184	626434	26786797
185	636736	27423533
186	647150	28070683
187	657678	28728361
188	668320	29396681
189	679077	30075758
190	689949	30765707
191	700937	31466644
192	712042	32178686
