id	name	level	iconId	modelId	petType	gameTime	maxFeedCount	activePoint	power	nimble	spirit	wisdom	curePoint	lifePoint	magicPoint	growPoint	maxBattlePoint	growBasic	remark	initSkill	job	phyAtt	sptAtt	phySmiteParm	sptSmiteParm	phyAttExt	sptAttExt	powerExt	spiritExt	phySmiteRateExt	sptSmiteRateExt	phySmiteParmExt	sptSmiteParmExt	lifePointExt	magicPointExt	wisdomExt	agilityExt	curePointExt
编号	名称	初始等级	头像	模型ID	宠物类型	活动时间	喂养次数	活跃度	力量	敏捷	精神	智慧	治疗值	生命上限	精力上限	成长值	体力	每级属性增长	文字描述	初始技能	职业	物理攻击	精神攻击	物理爆击伤害倍率	精神爆击伤害倍率	物攻（赋）	精攻（赋）	力量追加	精神追加	物理爆击率追加	精神爆击率追加	物理爆击伤害倍率	精神爆击伤害倍率	生命追加	精力追加	智慧追加	敏捷追加	辅助值追加
1065000000	蛋蛋	1	0	1165000000	1	300000	10	10	0	0	0	0	0	0	0	2	0	0	宠物	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1065000001	大花猫（物）	1	1147000002	1165010001	2	300000	0	0	0	0	0	0	0	0	0	100	200	phyAtt:1	宠物	1032130001:1032130101:1032130401	1	200	0	0	0	100:3000	100:3000	100:3000	100:3000	10:80	10:80	100:1000	100:1000	0	0	0	0	0
1065000002	大花猫（魔）	1	1147000002	1165010001	2	300000	0	0	0	0	0	0	0	0	0	100	200	sptAtt:1	宠物	1032130201:1032130301:1032130501	2	0	200	0	0	100:3000	100:3000	100:3000	100:3000	10:80	10:80	100:1000	100:1000	0	0	0	0	0
1065000003	河马（物）	1	1147000003	1165010002	2	300000	0	0	0	0	0	0	0	1600	1600	100	200	lifePoint:6|magicPoint:6|curePoint:0.2|clearPhySmiteParm:0.6|clearSptSmiteParm:0.6	宠物	1032130601:1031130001:1032130701	3	0	0	0	0	0	0	0	0	0	0	0	0	800:24000	800:24000	100:1500	100:1500	100:1000
1065000004	河马（魔）	1	1147000003	1165010002	2	300000	0	0	0	0	0	0	0	1600	1600	100	200	lifePoint:6|magicPoint:6|curePoint:0.2|clearPhySmiteParm:0.6|clearSptSmiteParm:0.6	宠物	1032130801:1031130101:1032130901	4	0	0	0	0	0	0	0	0	0	0	0	0	800:24000	800:24000	100:1500	100:1500	100:1000
1065000005	牛牛（物）	1	1147000004	1165010003	2	300000	0	0	0	0	0	0	0	0	0	150	300	phyAtt:1	宠物	1032131001:1032131101:1032131201	5	5000	0	2000	0	100:4000	100:4000	100:4000	100:4000	10:100	10:100	100:1200	100:1200	0	0	0	0	0
1065000006	牛牛（魔）	1	1147000004	1165010003	2	300000	0	0	0	0	0	0	0	0	0	150	300	sptAtt:1	宠物	1032131301:1032131401:1032131501	6	0	5000	0	2000	100:4000	100:4000	100:4000	100:4000	10:100	10:100	100:1200	100:1200	0	0	0	0	0
1065000007	小猴子（物）	1	1147000005	1165010004	2	300000	0	0	0	0	0	0	2000	15000	15000	150	300	lifePoint:6|magicPoint:6|curePoint:0.2|clearPhySmiteParm:0.6|clearSptSmiteParm:0.6	宠物	1032131601:1031130201:1032131701	7	0	0	0	0	0	0	0	0	0	0	0	0	800:25000	800:25000	100:2000	100:2000	100:1200
1065000008	小猴子（魔）	1	1147000005	1165010004	2	300000	0	0	0	0	0	0	2000	15000	15000	150	300	lifePoint:6|magicPoint:6|curePoint:0.2|clearPhySmiteParm:0.6|clearSptSmiteParm:0.6	宠物	1032131801:1031130301:1032131901	8	0	0	0	0	0	0	0	0	0	0	0	0	800:25000	800:25000	100:2000	100:2000	100:1200
1065000009	狮子（物）	1	1147000006	1165010005	2	300000	0	0	0	0	0	0	0	0	0	200	400	phyAtt:1	宠物	1032132001:1032132401:1032132101	9	15000	0	4000	0	100:6000	100:6000	100:6000	100:6000	10:120	10:120	100:1500	100:1500	0	0	0	0	0
1065000010	狮子（魔）	1	1147000006	1165010005	2	300000	0	0	0	0	0	0	0	0	0	200	400	sptAtt:1	宠物	1032132201:1032132501:1032132301	10	0	15000	0	4000	100:6000	100:6000	100:6000	100:6000	10:120	10:120	100:1500	100:1500	0	0	0	0	0
1065000011	粽子（物）	1	1147000007	1165010006	2	300000	0	0	0	0	0	0	4000	50000	50000	200	400	lifePoint:6|magicPoint:6|curePoint:0.2|clearPhySmiteParm:0.6|clearSptSmiteParm:0.6	宠物	1032132601:1031130401:1032132701	11	0	0	0	0	0	0	0	0	0	0	0	0	800:30000	800:30000	100:4000	100:4000	100:1500
1065000012	粽子（魔）	1	1147000007	1165010006	2	300000	0	0	0	0	0	0	4000	50000	50000	200	400	lifePoint:6|magicPoint:6|curePoint:0.2|clearPhySmiteParm:0.6|clearSptSmiteParm:0.6	宠物	1032132801:1031130501:1032132901	12	0	0	0	0	0	0	0	0	0	0	0	0	800:30000	800:30000	100:4000	100:4000	100:1500
