level	levelExp	total	totalInt
等级	升级经验	总经验	总亲密度
1	0	0	0
2	40	40	0
3	41	81	0
4	41	122	0
5	41	163	0
6	41	204	0
7	41	245	0
8	41	286	0
9	41	327	0
10	41	368	0
11	41	409	0
12	41	450	0
13	41	491	0
14	41	532	0
15	41	573	0
16	41	614	0
17	41	655	0
18	41	696	0
19	41	737	0
20	41	778	0
21	41	819	0
22	41	860	0
23	41	901	0
24	41	942	0
25	58	1000	0
26	140	1140	0
27	140	1280	0
28	140	1420	0
29	140	1560	0
30	140	1700	0
31	140	1840	0
32	140	1980	0
33	140	2120	0
34	140	2260	0
35	140	2400	0
36	140	2540	0
37	140	2680	0
38	140	2820	0
39	140	2960	0
40	140	3100	0
41	140	3240	0
42	140	3380	0
43	140	3520	0
44	140	3660	0
45	140	3800	0
46	140	3940	0
47	140	4080	0
48	140	4220	0
49	140	4360	0
50	140	4500	2500
51	200	4700	0
52	200	4900	0
53	200	5100	0
54	200	5300	0
55	200	5500	0
56	200	5700	0
57	200	5900	0
58	200	6100	0
59	200	6300	0
60	200	6500	0
61	200	6700	0
62	200	6900	0
63	200	7100	0
64	200	7300	0
65	200	7500	0
66	200	7700	0
67	200	7900	0
68	200	8100	0
69	200	8300	0
70	200	8500	0
71	200	8700	0
72	200	8900	0
73	200	9100	0
74	200	9300	0
75	200	9500	6500
76	280	9780	0
77	280	10060	0
78	280	10340	0
79	280	10620	0
80	280	10900	0
81	280	11180	0
82	280	11460	0
83	280	11740	0
84	280	12020	0
85	280	12300	0
86	280	12580	0
87	280	12860	0
88	280	13140	0
89	280	13420	0
90	280	13700	0
91	280	13980	0
92	280	14260	0
93	280	14540	0
94	280	14820	0
95	280	15100	0
96	280	15380	0
97	280	15660	0
98	280	15940	0
99	280	16220	0
100	280	16500	11500
101	360	16860	0
102	360	17220	0
103	360	17580	0
104	360	17940	0
105	360	18300	0
106	360	18660	0
107	360	19020	0
108	360	19380	0
109	360	19740	0
110	360	20100	0
111	360	20460	0
112	360	20820	0
113	360	21180	0
114	360	21540	0
115	360	21900	0
116	360	22260	0
117	360	22620	0
118	360	22980	0
119	360	23340	0
120	360	23700	0
121	360	24060	0
122	360	24420	0
123	360	24780	0
124	360	25140	0
125	360	25500	17500
126	420	25920	0
127	420	26340	0
128	420	26760	0
129	420	27180	0
130	420	27600	0
131	420	28020	0
132	420	28440	0
133	420	28860	0
134	420	29280	0
135	420	29700	0
136	420	30120	0
137	420	30540	0
138	420	30960	0
139	420	31380	0
140	420	31800	0
141	420	32220	0
142	420	32640	0
143	420	33060	0
144	420	33480	0
145	420	33900	0
146	420	34320	0
147	420	34740	0
148	420	35160	0
149	420	35580	0
150	420	36000	24500
151	480	36480	0
152	480	36960	0
153	480	37440	0
