job	petGoods
÷∞“µ	 ÿª§ªÏ„Á
7	1047000002:1047000004:1047000006:1047000008:1047000010:1047000012
14	1047000002:1047000004:1047000006:1047000008:1047000010:1047000012
18	1047000002:1047000004:1047000006:1047000008:1047000010:1047000012
5	1047000002:1047000004:1047000006:1047000008:1047000010:1047000012
13	1047000002:1047000004:1047000006:1047000008:1047000010:1047000012
17	1047000002:1047000004:1047000006:1047000008:1047000010:1047000012
10	1047000003:1047000005:1047000007:1047000009:1047000011:1047000013
15	1047000003:1047000005:1047000007:1047000009:1047000011:1047000013
19	1047000003:1047000005:1047000007:1047000009:1047000011:1047000013
11	1047000003:1047000005:1047000007:1047000009:1047000011:1047000013
16	1047000003:1047000005:1047000007:1047000009:1047000011:1047000013
20	1047000003:1047000005:1047000007:1047000009:1047000011:1047000013
