id	skillType	skillLevel	needPoint	needMoney	needGoods	needTime	proofGoods	proofPoint	needExp	needPetLevel	needPetJob
序列ID	技能类型	技能等级	需要金币	需要元宝	需要物品	需要时间	第一次学习需要的认证物品	第一次学习需要的金币	需要学习的经验	需要宠物等级	需要宠物职业
1	1	1	10000	0	0	600000	0	0	500	1	1:101
2	1	2	10000	0	0	600000	0	100000	1500	1000	1:101
3	1	3	10000	0	0	600000	0	500000	2500	2000	1:101
4	1	4	10000	0	0	600000	0	1000000	4000	3000	1:101
5	1	5	50000	0	0	600000	0	2000000	6000	4000	1:101
6	1	6	50000	0	0	600000	0	3000000	8000	4500	1:101
7	1	7	50000	0	0	600000	0	4000000	10000	5000	1:101
8	1	8	50000	0	0	600000	0	5000000	15000	5500	1:101
9	1	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1000	101
10	1	10	200000	0	0	600000	1042010106:60	0	15000	2000	101
11	1	11	200000	0	0	600000	1050000001:10	0	16000	3000	101
12	1	12	200000	0	0	600000	1045030002:10	0	17000	4000	101
13	1	13	200000	0	0	600000	1042010105:5	0	18000	5000	101
14	1	14	200000	0	0	600000	1045000294:2	0	19000	6000	101
15	1	15	200000	0	0	600000	1045010406:2	0	20000	6500	101
16	2	1	0	0	1045010407:1	0	0	0	500	1	1:101
17	2	2	0	0	1045010407:1	0	0	100000	1500	1000	1:101
18	2	3	0	0	1045010407:1	0	0	500000	2500	2000	1:101
19	2	4	0	0	1045010407:1	0	0	1000000	4000	3000	1:101
20	2	5	0	0	1045010407:1	0	0	2000000	6000	4000	1:101
21	2	6	0	0	1045010407:1	0	0	3000000	8000	4500	1:101
22	2	7	0	0	1045010407:1	0	0	4000000	10000	5000	1:101
23	2	8	0	0	1045010407:1	0	0	5000000	15000	5500	1:101
24	2	9	0	0	1045010407:1	0	1045010408:30|1042200301:60	0	15000	1000	101
25	2	10	0	0	1045010407:1	0	1042010106:60	0	15000	2000	101
26	2	11	0	0	1045010407:1	0	1050000001:10	0	16000	3000	101
27	2	12	0	0	1045010407:1	0	1045030002:10	0	17000	4000	101
28	2	13	0	0	1045010407:1	0	1042010105:5	0	18000	5000	101
29	2	14	0	0	1045010407:1	0	1045000294:2	0	19000	6000	101
30	2	15	0	0	1045010407:1	0	1045010406:2	0	20000	6500	101
31	3	1	10000	0	0	600000	0	0	500	1	2:102
32	3	2	10000	0	0	600000	0	100000	1500	1000	2:102
33	3	3	10000	0	0	600000	0	500000	2500	2000	2:102
34	3	4	10000	0	0	600000	0	1000000	4000	3000	2:102
35	3	5	50000	0	0	600000	0	2000000	6000	4000	2:102
36	3	6	50000	0	0	600000	0	3000000	8000	4500	2:102
37	3	7	50000	0	0	600000	0	4000000	10000	5000	2:102
38	3	8	50000	0	0	600000	0	5000000	15000	5500	2:102
39	3	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1000	102
40	3	10	200000	0	0	600000	1042010106:60	0	15000	2000	102
41	3	11	200000	0	0	600000	1050000001:10	0	16000	3000	102
42	3	12	200000	0	0	600000	1045030002:10	0	17000	4000	102
43	3	13	200000	0	0	600000	1042010105:5	0	18000	5000	102
44	3	14	200000	0	0	600000	1045000294:2	0	19000	6000	102
45	3	15	200000	0	0	600000	1045010406:2	0	20000	6500	102
46	4	1	0	0	1045010407:1	0	0	0	500	1	2:102
47	4	2	0	0	1045010407:1	0	0	100000	1500	1000	2:102
48	4	3	0	0	1045010407:1	0	0	500000	2500	2000	2:102
49	4	4	0	0	1045010407:1	0	0	1000000	4000	3000	2:102
50	4	5	0	0	1045010407:1	0	0	2000000	6000	4000	2:102
51	4	6	0	0	1045010407:1	0	0	3000000	8000	4500	2:102
52	4	7	0	0	1045010407:1	0	0	4000000	10000	5000	2:102
53	4	8	0	0	1045010407:1	0	0	5000000	15000	5500	2:102
54	4	9	0	0	1045010407:1	0	1045010408:30|1042200301:60	0	15000	1000	102
55	4	10	0	0	1045010407:1	0	1042010106:60	0	15000	2000	102
56	4	11	0	0	1045010407:1	0	1050000001:10	0	16000	3000	102
57	4	12	0	0	1045010407:1	0	1045030002:10	0	17000	4000	102
58	4	13	0	0	1045010407:1	0	1042010105:5	0	18000	5000	102
59	4	14	0	0	1045010407:1	0	1045000294:2	0	19000	6000	102
60	4	15	0	0	1045010407:1	0	1045010406:2	0	20000	6500	102
61	5	1	10000	0	0	600000	0	0	500	1	1:101
62	5	2	10000	0	0	600000	0	100000	1500	1	1:101
63	5	3	10000	0	0	600000	0	500000	2500	1	1:101
64	5	4	10000	0	0	600000	0	1000000	4000	1	1:101
65	5	5	50000	0	0	600000	0	2000000	6000	1	1:101
66	5	6	50000	0	0	600000	0	3000000	8000	1	1:101
67	5	7	50000	0	0	600000	0	4000000	10000	1	1:101
68	5	8	50000	0	0	600000	0	5000000	15000	1	1:101
69	5	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1	1:101
70	5	10	200000	0	0	600000	1042010106:60	0	15000	1	1:101
71	5	11	200000	0	0	600000	1050000001:10	0	16000	1	1:101
72	5	12	200000	0	0	600000	1045030002:10	0	17000	1	1:101
73	5	13	200000	0	0	600000	1042010105:5	0	18000	1	1:101
74	5	14	200000	0	0	600000	1045000294:2	0	19000	1	1:101
75	5	15	200000	0	0	600000	1045010406:2	0	20000	1	1:101
76	6	1	10000	0	0	600000	0	0	500	1	2:102
77	6	2	10000	0	0	600000	0	100000	1500	1	2:102
78	6	3	10000	0	0	600000	0	500000	2500	1	2:102
79	6	4	10000	0	0	600000	0	1000000	4000	1	2:102
80	6	5	50000	0	0	600000	0	2000000	6000	1	2:102
81	6	6	50000	0	0	600000	0	3000000	8000	1	2:102
82	6	7	50000	0	0	600000	0	4000000	10000	1	2:102
83	6	8	50000	0	0	600000	0	5000000	15000	1	2:102
84	6	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1	2:102
85	6	10	200000	0	0	600000	1042010106:60	0	15000	1	2:102
86	6	11	200000	0	0	600000	1050000001:10	0	16000	1	2:102
87	6	12	200000	0	0	600000	1045030002:10	0	17000	1	2:102
88	6	13	200000	0	0	600000	1042010105:5	0	18000	1	2:102
89	6	14	200000	0	0	600000	1045000294:2	0	19000	1	2:102
90	6	15	200000	0	0	600000	1045010406:2	0	20000	1	2:102
91	7	1	10000	0	0	600000	0	0	500	1	3:103
92	7	2	10000	0	0	600000	0	100000	1500	1000	3:103
93	7	3	10000	0	0	600000	0	500000	2500	2000	3:103
94	7	4	10000	0	0	600000	0	1000000	4000	3000	3:103
95	7	5	50000	0	0	600000	0	2000000	6000	4000	3:103
96	7	6	50000	0	0	600000	0	3000000	8000	4500	3:103
97	7	7	50000	0	0	600000	0	4000000	10000	5000	3:103
98	7	8	50000	0	0	600000	0	5000000	15000	5500	3:103
99	7	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1000	103
100	7	10	200000	0	0	600000	1042010106:60	0	15000	2000	103
101	7	11	200000	0	0	600000	1050000001:10	0	16000	3000	103
102	7	12	200000	0	0	600000	1045030002:10	0	17000	4000	103
103	7	13	200000	0	0	600000	1042010105:5	0	18000	5000	103
104	7	14	200000	0	0	600000	1045000294:2	0	19000	6000	103
105	7	15	200000	0	0	600000	1045010406:2	0	20000	6500	103
106	8	1	10000	0	0	600000	0	0	500	1	3:103
107	8	2	10000	0	0	600000	0	100000	1500	1	3:103
108	8	3	10000	0	0	600000	0	500000	2500	1	3:103
109	8	4	10000	0	0	600000	0	1000000	4000	1	3:103
110	8	5	50000	0	0	600000	0	2000000	6000	1	3:103
111	8	6	50000	0	0	600000	0	3000000	8000	1	3:103
112	8	7	50000	0	0	600000	0	4000000	10000	1	3:103
113	8	8	50000	0	0	600000	0	5000000	15000	1	3:103
114	8	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1	3:103
115	8	10	200000	0	0	600000	1042010106:60	0	15000	1	3:103
116	8	11	200000	0	0	600000	1050000001:10	0	16000	1	3:103
117	8	12	200000	0	0	600000	1045030002:10	0	17000	1	3:103
118	8	13	200000	0	0	600000	1042010105:5	0	18000	1	3:103
119	8	14	200000	0	0	600000	1045000294:2	0	19000	1	3:103
120	8	15	200000	0	0	600000	1045010406:2	0	20000	1	3:103
121	9	1	10000	0	0	600000	0	0	500	1	4:104
122	9	2	10000	0	0	600000	0	100000	1500	1000	4:104
123	9	3	10000	0	0	600000	0	500000	2500	2000	4:104
124	9	4	10000	0	0	600000	0	1000000	4000	3000	4:104
125	9	5	50000	0	0	600000	0	2000000	6000	4000	4:104
126	9	6	50000	0	0	600000	0	3000000	8000	4500	4:104
127	9	7	50000	0	0	600000	0	4000000	10000	5000	4:104
128	9	8	50000	0	0	600000	0	5000000	15000	5500	4:104
129	9	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1000	104
130	9	10	200000	0	0	600000	1042010106:60	0	15000	2000	104
131	9	11	200000	0	0	600000	1050000001:10	0	16000	3000	104
132	9	12	200000	0	0	600000	1045030002:10	0	17000	4000	104
133	9	13	200000	0	0	600000	1042010105:5	0	18000	5000	104
134	9	14	200000	0	0	600000	1045000294:2	0	19000	6000	104
135	9	15	200000	0	0	600000	1045010406:2	0	20000	6500	104
136	10	1	10000	0	0	600000	0	0	500	1	4:104
137	10	2	10000	0	0	600000	0	100000	1500	1	4:104
138	10	3	10000	0	0	600000	0	500000	2500	1	4:104
139	10	4	10000	0	0	600000	0	1000000	4000	1	4:104
140	10	5	50000	0	0	600000	0	2000000	6000	1	4:104
141	10	6	50000	0	0	600000	0	3000000	8000	1	4:104
142	10	7	50000	0	0	600000	0	4000000	10000	1	4:104
143	10	8	50000	0	0	600000	0	5000000	15000	1	4:104
144	10	9	200000	0	0	600000	1045010408:30|1042200301:60	0	15000	1	4:104
145	10	10	200000	0	0	600000	1042010106:60	0	15000	1	4:104
146	10	11	200000	0	0	600000	1050000001:10	0	16000	1	4:104
147	10	12	200000	0	0	600000	1045030002:10	0	17000	1	4:104
148	10	13	200000	0	0	600000	1042010105:5	0	18000	1	4:104
149	10	14	200000	0	0	600000	1045000294:2	0	19000	1	4:104
150	10	15	200000	0	0	600000	1045010406:2	0	20000	1	4:104
151	111	1	0	0	1045010407:1	0	0	0	500	1	3:103
152	111	2	0	0	1045010407:1	0	0	100000	1500	1000	3:103
153	111	3	0	0	1045010407:1	0	0	500000	2500	2000	3:103
154	111	4	0	0	1045010407:1	0	0	1000000	4000	3000	3:103
155	111	5	0	0	1045010407:1	0	0	2000000	6000	4000	3:103
156	111	6	0	0	1045010407:1	0	0	3000000	8000	4500	3:103
157	111	7	0	0	1045010407:1	0	0	4000000	10000	5000	3:103
158	111	8	0	0	1045010407:1	0	0	5000000	15000	5500	3:103
159	111	9	0	0	1045010407:1	0	1045010408:30|1042200301:60	0	15000	1000	103
160	111	10	0	0	1045010407:1	0	1042010106:60	0	15000	2000	103
161	111	11	0	0	1045010407:1	0	1050000001:10	0	16000	3000	103
162	111	12	0	0	1045010407:1	0	1045030002:10	0	17000	4000	103
163	111	13	0	0	1045010407:1	0	1042010105:5	0	18000	5000	103
164	111	14	0	0	1045010407:1	0	1045000294:2	0	19000	6000	103
165	111	15	0	0	1045010407:1	0	1045010406:2	0	20000	6500	103
166	112	1	0	0	1045010407:1	0	0	0	500	1	4:104
167	112	2	0	0	1045010407:1	0	0	100000	1500	1000	4:104
168	112	3	0	0	1045010407:1	0	0	500000	2500	2000	4:104
169	112	4	0	0	1045010407:1	0	0	1000000	4000	3000	4:104
170	112	5	0	0	1045010407:1	0	0	2000000	6000	4000	4:104
171	112	6	0	0	1045010407:1	0	0	3000000	8000	4500	4:104
172	112	7	0	0	1045010407:1	0	0	4000000	10000	5000	4:104
173	112	8	0	0	1045010407:1	0	0	5000000	15000	5500	4:104
