minLevel	maxLevel	exeExp	strInt	dropId
最小等级	最大等级	获取经验	获取亲密度	掉宝组ID
1	25	0:450:0	450:0:0	0:0:600001
26	50	0:450:0	450:0:0	0:0:600001
51	75	0:450:0	450:0:0	0:0:600002
76	100	0:450:0	450:0:0	0:0:600002
101	125	0:450:0	450:0:0	0:0:600003
126	150	0:450:0	450:0:0	0:0:600003
151	175	0:450:0	450:0:0	0:0:600004
176	200	0:450:0	450:0:0	0:0:600004
201	225	0:450:0	450:0:0	0:0:600005
226	250	0:450:0	450:0:0	0:0:600005
251	275	0:450:0	450:0:0	0:0:600006
276	300	0:450:0	450:0:0	0:0:600006
301	325	0:450:0	450:0:0	0:0:600007
326	350	0:450:0	450:0:0	0:0:600007
351	375	0:450:0	450:0:0	0:0:600008
376	400	0:450:0	450:0:0	0:0:600008
401	425	0:450:0	450:0:0	0:0:600009
426	450	0:450:0	450:0:0	0:0:600009
451	475	0:450:0	450:0:0	0:0:600010
476	500	0:450:0	450:0:0	0:0:600010
501	525	0:450:0	450:0:0	0:0:600011
526	550	0:450:0	450:0:0	0:0:600011
551	575	0:450:0	450:0:0	0:0:600012
576	600	0:450:0	450:0:0	0:0:600012
601	625	0:450:0	450:0:0	0:0:600013
626	650	0:450:0	450:0:0	0:0:600013
651	675	0:450:0	450:0:0	0:0:600014
676	700	0:450:0	450:0:0	0:0:600014
701	725	0:450:0	450:0:0	0:0:600015
726	750	0:450:0	450:0:0	0:0:600015
751	775	0:450:0	450:0:0	0:0:600016
776	800	0:450:0	450:0:0	0:0:600016
801	825	0:450:0	450:0:0	0:0:600017
826	850	0:450:0	450:0:0	0:0:600017
851	875	0:450:0	450:0:0	0:0:600018
876	900	0:450:0	450:0:0	0:0:600018
901	925	0:450:0	450:0:0	0:0:600019
926	950	0:450:0	450:0:0	0:0:600019
951	975	0:450:0	450:0:0	0:0:600020
976	1000	0:450:0	450:0:0	0:0:600020
1001	1025	0:450:0	450:0:0	0:0:600021
1026	1050	0:450:0	450:0:0	0:0:600021
1051	1075	0:450:0	450:0:0	0:0:600022
1076	1100	0:450:0	450:0:0	0:0:600022
1101	1125	0:450:0	450:0:0	0:0:600023
1126	1150	0:450:0	450:0:0	0:0:600023
1151	1175	0:450:0	450:0:0	0:0:600024
1176	1200	0:450:0	450:0:0	0:0:600024
1201	1225	0:450:0	450:0:0	0:0:600025
1226	1250	0:450:0	450:0:0	0:0:600025
1251	1275	0:450:0	450:0:0	0:0:600026
