level	upState	upWay	upModelId	upAtt
等级	是否变身	宠物线路	A宠物进化动画	属性选择
1	0	a	1165000000	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0
25	2	a1:a2	1165000101:1165000201	power,nimble:spirit,wisdom
26	0	0	0	power,nimble:spirit,wisdom
27	0	0	0	power,nimble:spirit,wisdom
28	0	0	0	power,nimble:spirit,wisdom
29	0	0	0	power,nimble:spirit,wisdom
30	0	0	0	power,nimble:spirit,wisdom
31	0	0	0	power,nimble:spirit,wisdom
32	0	0	0	power,nimble:spirit,wisdom
33	0	0	0	power,nimble:spirit,wisdom
34	0	0	0	power,nimble:spirit,wisdom
35	0	0	0	power,nimble:spirit,wisdom
36	0	0	0	power,nimble:spirit,wisdom
37	0	0	0	power,nimble:spirit,wisdom
38	0	0	0	power,nimble:spirit,wisdom
39	0	0	0	power,nimble:spirit,wisdom
40	0	0	0	power,nimble:spirit,wisdom
41	0	0	0	power,nimble:spirit,wisdom
42	0	0	0	power,nimble:spirit,wisdom
43	0	0	0	power,nimble:spirit,wisdom
44	0	0	0	power,nimble:spirit,wisdom
45	0	0	0	power,nimble:spirit,wisdom
46	0	0	0	power,nimble:spirit,wisdom
47	0	0	0	power,nimble:spirit,wisdom
48	0	0	0	power,nimble:spirit,wisdom
49	0	0	0	power,nimble:spirit,wisdom
50	1	a1:a2	1165000102:1165000202	power,nimble:spirit,wisdom
51	0	0	0	power,nimble:spirit,wisdom
52	0	0	0	power,nimble:spirit,wisdom
53	0	0	0	power,nimble:spirit,wisdom
54	0	0	0	power,nimble:spirit,wisdom
55	0	0	0	power,nimble:spirit,wisdom
56	0	0	0	power,nimble:spirit,wisdom
57	0	0	0	power,nimble:spirit,wisdom
58	0	0	0	power,nimble:spirit,wisdom
59	0	0	0	power,nimble:spirit,wisdom
60	0	0	0	power,nimble:spirit,wisdom
61	0	0	0	power,nimble:spirit,wisdom
62	0	0	0	power,nimble:spirit,wisdom
