level	upState	upWay	upModelId	upAtt
等级	是否变身	宠物线路	A宠物进化动画	属性选择
1	0	a	1165000000	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0
25	2	a1:a2	1165000101:1165000201	power,physique:nimble,spirit
26	0	0	0	power,physique:nimble,spirit
27	0	0	0	power,physique:nimble,spirit
28	0	0	0	power,physique:nimble,spirit
29	0	0	0	power,physique:nimble,spirit
30	0	0	0	power,physique:nimble,spirit
31	0	0	0	power,physique:nimble,spirit
32	0	0	0	power,physique:nimble,spirit
33	0	0	0	power,physique:nimble,spirit
34	0	0	0	power,physique:nimble,spirit
35	0	0	0	power,physique:nimble,spirit
36	0	0	0	power,physique:nimble,spirit
37	0	0	0	power,physique:nimble,spirit
38	0	0	0	power,physique:nimble,spirit
39	0	0	0	power,physique:nimble,spirit
40	0	0	0	power,physique:nimble,spirit
41	0	0	0	power,physique:nimble,spirit
42	0	0	0	power,physique:nimble,spirit
43	0	0	0	power,physique:nimble,spirit
44	0	0	0	power,physique:nimble,spirit
45	0	0	0	power,physique:nimble,spirit
46	0	0	0	power,physique:nimble,spirit
47	0	0	0	power,physique:nimble,spirit
48	0	0	0	power,physique:nimble,spirit
49	0	0	0	power,physique:nimble,spirit
50	1	a1:a2	1165000102:1165000202	power,physique:nimble,spirit
51	0	0	0	power,physique:nimble,spirit
52	0	0	0	power,physique:nimble,spirit
53	0	0	0	power,physique:nimble,spirit
54	0	0	0	power,physique:nimble,spirit
55	0	0	0	power,physique:nimble,spirit
56	0	0	0	power,physique:nimble,spirit
57	0	0	0	power,physique:nimble,spirit
58	0	0	0	power,physique:nimble,spirit
59	0	0	0	power,physique:nimble,spirit
60	0	0	0	power,physique:nimble,spirit
61	0	0	0	power,physique:nimble,spirit
62	0	0	0	power,physique:nimble,spirit
63	0	0	0	power,physique:nimble,spirit
64	0	0	0	power,physique:nimble,spirit
65	0	0	0	power,physique:nimble,spirit
66	0	0	0	power,physique:nimble,spirit
