id	name	level	type	iconId	minQuality	maxQuality	point	token	money	repeatNumber	bindMode	remark	effect	useObject	propCDTime	hatred	skillId	expTimes	expMult	chatType	extLife	extMagic	addMoney	expPoint	intPoint	petId	dropId	gemAtt	isDel
编号	名称	需求等级	道具类别	美术资源ID	最低品质	最高品质	游戏中价值	代金(rmb)价格	元宝	每组堆叠数量	绑定模式	文字描述	效果调用	是否对己方使用	cd时间	仇恨	技能ID	经验卡持续时间	经验卡倍数	聊天信息发送频道	血槽上限	蓝槽上限	增加元宝	经验点数	亲密度点数	宠物id	掉宝组ID	宝石属性	能否丢弃
1041010001	超小型生命药水	0	2	1141010001	0	0	100	0	0	999	0	双击立即恢复生命2000	1034010213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010002	小型生命药水	0	2	1141010002	0	0	300	0	0	999	0	双击立即恢复生命4000	1034010214	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010003	中型生命药水	0	2	1141010003	0	0	500	0	0	999	0	双击立即恢复生命8000	1034010215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010004	大型生命药水	0	2	1141010004	0	0	800	0	0	999	0	双击立即恢复生命12000	1034010216	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010005	超大型生命药水	0	2	1141010005	0	0	1200	0	0	999	0	双击立即恢复生命16000	1034010217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010006	特效生命药水	0	2	1141010006	0	0	1600	0	0	999	0	双击立即恢复生命20000	1034010208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010007	巨型生命药水	0	2	1141010007	1	1	2000	0	0	999	0	双击立即恢复生命30000	1034010209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010008	超级血瓶	0	2	1141010008	1	1	2400	0	0	999	0	双击立即恢复生命40000	1034010210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010009	巨型血瓶	0	2	1141010009	1	1	2800	0	0	999	0	双击立即恢复生命45000	1034010211	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010010	秘制血瓶	0	2	1141010010	1	1	3500	0	0	999	0	双击立即恢复生命50000	1034010212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010011	五万点生命药水	0	2	1141010010	1	1	3500	0	0	999	0	双击立即恢复生命50000	1034010247	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010012	十万点生命药水	0	2	1141010010	1	1	7000	0	0	999	0	双击立即恢复生命100000	1034010248	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010013	二十万点生命药水	0	2	1141010010	1	1	10000	0	0	999	0	双击立即恢复生命200000	1034010249	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010014	三十万点生命药水	0	2	1141010011	1	1	12000	0	0	999	2	双击立即恢复生命300000	1034010267	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010015	五十万点生命药水	0	2	1141010012	1	1	15000	0	0	999	2	双击立即恢复生命500000	1034010268	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010030	八十万点生命药水	0	2	1141010030	1	1	30000	0	0	999	2	双击立即恢复生命800000	1034010295	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010017	红枣	0	2	1141010023	2	2	20000	0	0	999	0	双击立即恢复生命520000	1034010269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010018	花生	0	2	1141010014	2	2	20000	0	0	999	0	双击立即恢复生命520000	1034010269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010019	桂圆	0	2	1141010015	2	2	20000	0	0	999	0	双击立即恢复生命520000	1034010269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010020	莲子	0	2	1141010016	2	2	20000	0	0	999	0	双击立即恢复生命520000	1034010269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010021	喜糖	0	2	1141010017	2	2	20000	0	0	999	0	双击立即恢复生命520000	1034010269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010022	精致红枣	0	2	1141010018	2	2	50000	0	0	999	0	双击立即恢复生命1314000	1034010270	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010023	精致花生	0	2	1141010019	2	2	50000	0	0	999	0	双击立即恢复生命1314000	1034010270	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1041010024	精致桂圆	0	2	1141010020	2	2	50000	0	0	999	0	双击立即恢复生命1314000	1034010270	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
