id	name	iconId	level	buffType	dataType	dataPattern	effectPoint	effectTarget	profession	order
效果编号	效果名称	技能图标	效果等级	技能类型	操作类型	数据类型	效果值	效果目标	所属职业	排序号
1032020001	基础体能训练	1132020001	1	1	4:0:0	1:0:0	20000:0:0	1	7:0:0	8
1032020002	基础体能训练	1132020001	2	1	4:0:0	1:0:0	20000:0:0	1	7:0:0	8
1032020003	基础体能训练	1132020001	3	1	4:0:0	1:0:0	20000:0:0	1	7:0:0	8
1032020004	基础体能训练	1132020001	4	1	4:0:0	1:0:0	20000:0:0	1	7:0:0	8
1032020005	基础体能训练	1132020001	5	1	4:0:0	1:0:0	20000:0:0	1	7:0:0	8
1032020006	基础体能训练	1132020001	6	1	4:0:0	1:0:0	20000:0:0	1	7:0:0	8
1032020007	基础体能训练	1132020001	7	1	4:0:0	1:0:0	20000:0:0	1	7:0:0	8
1032020008	基础体能训练	1132020001	8	1	4:0:0	1:0:0	20000:0:0	1	7:0:0	8
1032020101	呼吸节奏	1132020101	1	1	10:0:0	1:0:0	500:0:0	1	7:0:0	5
1032020102	呼吸节奏	1132020101	2	1	10:0:0	1:0:0	500:0:0	1	7:0:0	5
1032020103	呼吸节奏	1132020101	3	1	10:0:0	1:0:0	500:0:0	1	7:0:0	5
1032020104	呼吸节奏	1132020101	4	1	10:0:0	1:0:0	500:0:0	1	7:0:0	5
1032020301	平衡性训练	1132070101	1	1	18:0:0	1:0:0	1000:0:0	1	-1:0:0	9
1032020302	平衡性训练	1132070101	2	1	18:0:0	1:0:0	200:0:0	1	-1:0:0	9
1032020303	平衡性训练	1132070101	3	1	18:0:0	1:0:0	200:0:0	1	-1:0:0	9
1032020201	体育精神	1132020201	1	1	5:0:0	1:0:0	58:0:0	1	-1:0:0	3
1032070201	钩钩儿护腿板	1132070201	1	1	7:0:0	2:0:0	800:0:0	1	-1:0:0	4
1032080201	滑步	1132080201	1	1	10:0:0	1:0:0	200:0:0	1	-1:0:0	3
1032010001	军体操	1132010001	1	1	2:0:0	1:0:0	22:0:0	1	-1:0:0	6
1032010201	爆破科技	1132010201	1	1	10:0:0	1:0:0	400:0:0	1	5:0:0	6
1032010202	爆破科技	1132010201	2	1	10:0:0	1:0:0	400:0:0	1	5:0:0	6
1032010203	爆破科技	1132010201	3	1	10:0:0	1:0:0	400:0:0	1	5:0:0	6
1032010301	国防身体	1132010301	1	1	4:0:0	1:0:0	20000:0:0	1	5:0:0	9
1032010302	国防身体	1132010301	2	1	4:0:0	1:0:0	20000:0:0	1	5:0:0	9
1032010303	国防身体	1132010301	3	1	4:0:0	1:0:0	20000:0:0	1	5:0:0	9
1032010304	国防身体	1132010301	4	1	4:0:0	1:0:0	20000:0:0	1	5:0:0	9
1032010305	国防身体	1132010301	5	1	4:0:0	1:0:0	20000:0:0	1	5:0:0	9
1032010306	国防身体	1132010301	6	1	4:0:0	1:0:0	20000:0:0	1	5:0:0	9
1032010307	国防身体	1132010301	7	1	4:0:0	1:0:0	20000:0:0	1	5:0:0	9
1032010308	国防身体	1132010301	8	1	4:0:0	1:0:0	20000:0:0	1	5:0:0	9
1032010401	力量训练	1132010401	1	1	1:0:0	1:0:0	52:0:0	1	-1:0:0	9
1032060001	盔甲精通	1132060001	1	1	7:0:0	2:0:0	500:0:0	1	-1:0:0	4
1032060101	钢铁意志	1132060101	1	1	9:0:0	2:0:0	500:0:0	1	-1:0:0	5
1032060301	挑衅	1132060301	1	1	19:0:0	2:0:0	1800:0:0	1	-1:0:0	5
1032060302	挑衅	1132060301	2	1	19:0:0	2:0:0	2800:0:0	1	-1:0:0	2
