id	name	level	effectList	effectRangeList	targetType	petJob	rate2	rate3	magic	iconId	order	type	skillRate	skillType	isVIP
技能编号	技能名称	等级	效果编号	技能范围	目标类型	所属职业	效果2几率	效果3几率	耗蓝	技能图表ID	排序号	类型(活动技能或者其他技能)	发动几率	技能类型(用来判断学习技能)	是否vip技能
1031130001	犀利眼神	1	1034020104:0:0	1	2:0:0	3:103:0:0:0:0:0	0	0	0	1132130005	2	0	2000	111	1
1031130002	犀利眼神	2	1034020119:0:0	1	2:0:0	3:103:0:0:0:0:0	0	0	0	1132130005	2	0	2100	111	1
1031130003	犀利眼神	3	1034020122:0:0	1	2:0:0	3:103:0:0:0:0:0	0	0	0	1132130005	2	0	2200	111	1
1031130004	犀利眼神	4	1034020125:0:0	1	2:0:0	3:103:0:0:0:0:0	0	0	0	1132130005	2	0	2300	111	1
1031130005	犀利眼神	5	1034020120:0:0	1	2:0:0	3:103:0:0:0:0:0	0	0	0	1132130005	2	0	2400	111	1
1031130006	犀利眼神	6	1034020105:0:0	1	2:0:0	3:103:0:0:0:0:0	0	0	0	1132130005	2	0	2500	111	1
1031130007	犀利眼神	7	1034020126:0:0	1	2:0:0	3:103:0:0:0:0:0	0	0	0	1132130005	2	0	2600	111	1
1031130008	犀利眼神	8	1034020110:0:0	1	2:0:0	3:103:0:0:0:0:0	0	0	0	1132130005	2	0	2700	111	1
1031130009	犀利眼神	9	1034020127:0:0	1	2:0:0	103:0:0:0:0:0:0	0	0	0	1132130005	2	0	2800	111	1
1031130010	犀利眼神	10	1034020111:0:0	1	2:0:0	103:0:0:0:0:0:0	0	0	0	1132130005	2	0	2900	111	1
1031130011	犀利眼神	11	1034020128:0:0	1	2:0:0	103:0:0:0:0:0:0	0	0	0	1132130005	2	0	3000	111	1
1031130012	犀利眼神	12	1034020113:0:0	1	2:0:0	103:0:0:0:0:0:0	0	0	0	1132130005	2	0	3100	111	1
1031130013	犀利眼神	13	1034020121:0:0	1	2:0:0	103:0:0:0:0:0:0	0	0	0	1132130005	2	0	3200	111	1
1031130014	犀利眼神	14	1034020114:0:0	1	2:0:0	103:0:0:0:0:0:0	0	0	0	1132130005	2	0	3300	111	1
1031130015	犀利眼神	15	1034020134:0:0	1	2:0:0	103:0:0:0:0:0:0	0	0	0	1132130005	2	0	3400	111	1
1031130101	犀利眼神	1	1034020104:0:0	1	2:0:0	4:104:0:0:0:0:0	0	0	0	1132130005	2	0	2000	112	1
1031130102	犀利眼神	2	1034020119:0:0	1	2:0:0	4:104:0:0:0:0:0	0	0	0	1132130005	2	0	2100	112	1
1031130103	犀利眼神	3	1034020122:0:0	1	2:0:0	4:104:0:0:0:0:0	0	0	0	1132130005	2	0	2200	112	1
