id	name	iconId	level	dataType	dataPattern	effectPoint	effectTarget	petJob	order	skillType	isVIP
效果编号	效果名称	技能图标	效果等级	操作类型	数据类型	效果值	效果目标	所属职业	排序号	技能类别	是否vip技能
1032130001	飘飘拳	1132130001	1	6:0:0	1:0:0	1000:0:0	1	1:101:0	1	1	0
1032130002	飘飘拳	1132130001	2	6:0:0	1:0:0	1000:0:0	1	1:101:0	1	1	0
1032130003	飘飘拳	1132130001	3	6:0:0	1:0:0	1000:0:0	1	1:101:0	1	1	0
1032130004	飘飘拳	1132130001	4	6:12:0	1:1:0	0:500:0	1	1:101:0	1	1	0
1032130005	飘飘拳	1132130001	5	6:12:0	1:1:0	0:500:0	1	1:101:0	1	1	0
1032130006	飘飘拳	1132130001	6	6:12:0	1:1:0	0:500:0	1	1:101:0	1	1	0
1032130007	飘飘拳	1132130001	7	6:12:0	1:1:0	0:500:0	1	1:101:0	1	1	0
1032130008	飘飘拳	1132130001	8	6:12:0	1:1:0	0:500:0	1	1:101:0	1	1	0
1032130009	飘飘拳	1132130001	9	6:12:0	1:1:0	1000:0:0	1	101:0:0	1	1	0
1032130010	飘飘拳	1132130001	10	6:12:0	1:1:0	1000:0:0	1	101:0:0	1	1	0
1032130011	飘飘拳	1132130001	11	6:12:0	1:1:0	1000:0:0	1	101:0:0	1	1	0
1032130012	飘飘拳	1132130001	12	6:12:0	1:1:0	0:500:0	1	101:0:0	1	1	0
1032130013	飘飘拳	1132130001	13	6:12:0	1:1:0	0:500:0	1	101:0:0	1	1	0
1032130014	飘飘拳	1132130001	14	6:12:0	1:1:0	0:500:0	1	101:0:0	1	1	0
1032130015	飘飘拳	1132130001	15	6:12:0	1:1:0	0:500:0	1	101:0:0	1	1	0
1032130101	喵喵爪	1132130002	1	20:21:12	1:1:1	200:200:300	1	1:101:0	2	2	1
1032130102	喵喵爪	1132130002	2	20:21:12	1:1:1	200:200:300	1	1:101:0	2	2	1
1032130103	喵喵爪	1132130002	3	20:21:12	1:1:1	200:200:400	1	1:101:0	2	2	1
1032130104	喵喵爪	1132130002	4	20:21:12	1:1:1	0:0:500	1	1:101:0	2	2	1
1032130105	喵喵爪	1132130002	5	20:21:12	1:1:1	0:0:500	1	1:101:0	2	2	1
1032130106	喵喵爪	1132130002	6	20:21:12	1:1:1	0:0:500	1	1:101:0	2	2	1
1032130107	喵喵爪	1132130002	7	20:21:12	1:1:1	0:0:500	1	1:101:0	2	2	1
1032130108	喵喵爪	1132130002	8	20:21:12	1:1:1	0:0:500	1	1:101:0	2	2	1
1032130109	喵喵爪	1132130002	9	20:21:12	1:1:1	200:200:0	1	101:0:0	2	2	1
1032130110	喵喵爪	1132130002	10	20:21:12	1:1:1	200:200:0	1	101:0:0	2	2	1
1032130111	喵喵爪	1132130002	11	20:21:12	1:1:1	200:200:0	1	101:0:0	2	2	1
1032130112	喵喵爪	1132130002	12	20:21:12	1:1:1	0:0:500	1	101:0:0	2	2	1
1032130113	喵喵爪	1132130002	13	20:21:12	1:1:1	0:0:500	1	101:0:0	2	2	1
1032130114	喵喵爪	1132130002	14	20:21:12	1:1:1	0:0:500	1	101:0:0	2	2	1
1032130115	喵喵爪	1132130002	15	20:21:12	1:1:1	0:0:500	1	101:0:0	2	2	1
1032130401	经验吸收	1132130003	1	22:0:0	2:0:0	4000:0:0	1	1:101:0	3	5	0
1032130402	经验吸收	1132130003	2	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130403	经验吸收	1132130003	3	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130404	经验吸收	1132130003	4	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130405	经验吸收	1132130003	5	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130406	经验吸收	1132130003	6	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130407	经验吸收	1132130003	7	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130408	经验吸收	1132130003	8	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130409	经验吸收	1132130003	9	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130410	经验吸收	1132130003	10	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130411	经验吸收	1132130003	11	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130412	经验吸收	1132130003	12	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130413	经验吸收	1132130003	13	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130414	经验吸收	1132130003	14	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130415	经验吸收	1132130003	15	22:0:0	2:0:0	200:0:0	1	1:101:0	3	5	0
1032130201	飘飘拳	1132130001	1	8:0:0	1:0:0	1000:0:0	1	2:102:0	1	3	0
1032130202	飘飘拳	1132130001	2	8:0:0	1:0:0	1000:0:0	1	2:102:0	1	3	0
1032130203	飘飘拳	1132130001	3	8:0:0	1:0:0	1000:0:0	1	2:102:0	1	3	0
1032130204	飘飘拳	1132130001	4	8:13:0	1:1:0	0:500:0	1	2:102:0	1	3	0
1032130205	飘飘拳	1132130001	5	8:13:0	1:1:0	0:500:0	1	2:102:0	1	3	0
1032130206	飘飘拳	1132130001	6	8:13:0	1:1:0	0:500:0	1	2:102:0	1	3	0
1032130207	飘飘拳	1132130001	7	8:13:0	1:1:0	0:500:0	1	2:102:0	1	3	0
1032130208	飘飘拳	1132130001	8	8:13:0	1:1:0	0:500:0	1	2:102:0	1	3	0
1032130209	飘飘拳	1132130001	9	8:13:0	1:1:0	1000:0:0	1	102:0:0	1	3	0
1032130210	飘飘拳	1132130001	10	8:13:0	1:1:0	1000:0:0	1	102:0:0	1	3	0
1032130211	飘飘拳	1132130001	11	8:13:0	1:1:0	1000:0:0	1	102:0:0	1	3	0
1032130212	飘飘拳	1132130001	12	8:13:0	1:1:0	0:500:0	1	102:0:0	1	3	0
1032130213	飘飘拳	1132130001	13	8:13:0	1:1:0	0:500:0	1	102:0:0	1	3	0
1032130214	飘飘拳	1132130001	14	8:13:0	1:1:0	0:500:0	1	102:0:0	1	3	0
1032130215	飘飘拳	1132130001	15	8:13:0	1:1:0	0:500:0	1	102:0:0	1	3	0
1032130301	喵喵爪	1132130002	1	20:21:13	1:1:1	200:200:300	1	2:102:0	2	4	1
1032130302	喵喵爪	1132130002	2	20:21:13	1:1:1	200:200:300	1	2:102:0	2	4	1
1032130303	喵喵爪	1132130002	3	20:21:13	1:1:1	200:200:400	1	2:102:0	2	4	1
1032130304	喵喵爪	1132130002	4	20:21:13	1:1:1	0:0:500	1	2:102:0	2	4	1
1032130305	喵喵爪	1132130002	5	20:21:13	1:1:1	0:0:500	1	2:102:0	2	4	1
1032130306	喵喵爪	1132130002	6	20:21:13	1:1:1	0:0:500	1	2:102:0	2	4	1
1032130307	喵喵爪	1132130002	7	20:21:13	1:1:1	0:0:500	1	2:102:0	2	4	1
1032130308	喵喵爪	1132130002	8	20:21:13	1:1:1	0:0:500	1	2:102:0	2	4	1
1032130309	喵喵爪	1132130002	9	20:21:13	1:1:1	200:200:0	1	102:0:0	2	4	1
1032130310	喵喵爪	1132130002	10	20:21:13	1:1:1	200:200:0	1	102:0:0	2	4	1
1032130311	喵喵爪	1132130002	11	20:21:13	1:1:1	200:200:0	1	102:0:0	2	4	1
1032130312	喵喵爪	1132130002	12	20:21:13	1:1:1	0:0:500	1	102:0:0	2	4	1
1032130313	喵喵爪	1132130002	13	20:21:13	1:1:1	0:0:500	1	102:0:0	2	4	1
1032130314	喵喵爪	1132130002	14	20:21:13	1:1:1	0:0:500	1	102:0:0	2	4	1
1032130315	喵喵爪	1132130002	15	20:21:13	1:1:1	0:0:500	1	102:0:0	2	4	1
1032130501	经验吸收	1132130003	1	22:0:0	2:0:0	4000:0:0	1	2:102:0	3	6	0
1032130502	经验吸收	1132130003	2	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130503	经验吸收	1132130003	3	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130504	经验吸收	1132130003	4	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130505	经验吸收	1132130003	5	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130506	经验吸收	1132130003	6	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130507	经验吸收	1132130003	7	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130508	经验吸收	1132130003	8	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130509	经验吸收	1132130003	9	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130510	经验吸收	1132130003	10	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130511	经验吸收	1132130003	11	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130512	经验吸收	1132130003	12	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130513	经验吸收	1132130003	13	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130514	经验吸收	1132130003	14	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130515	经验吸收	1132130003	15	22:0:0	2:0:0	200:0:0	1	2:102:0	3	6	0
1032130601	铜墙铁壁	1132130004	1	20:21:23	1:1:1	100:100:500	1	3:103:0	1	7	0
1032130602	铜墙铁壁	1132130004	2	20:21:23	1:1:1	200:200:0	1	3:103:0	1	7	0
1032130603	铜墙铁壁	1132130004	3	20:21:23	1:1:1	200:200:0	1	3:103:0	1	7	0
1032130604	铜墙铁壁	1132130004	4	24:25:23	1:1:1	200:1000:500	1	3:103:0	1	7	0
1032130605	铜墙铁壁	1132130004	5	24:25:23	1:1:1	200:1000:0	1	3:103:0	1	7	0
1032130606	铜墙铁壁	1132130004	6	24:25:23	1:1:1	200:1000:0	1	3:103:0	1	7	0
1032130607	铜墙铁壁	1132130004	7	24:25:23	1:1:1	200:1000:500	1	3:103:0	1	7	0
1032130608	铜墙铁壁	1132130004	8	24:25:23	1:1:1	200:1000:0	1	3:103:0	1	7	0
1032130609	铜墙铁壁	1132130004	9	24:25:23	1:1:1	200:1000:0	1	103:0:0	1	7	0
1032130610	铜墙铁壁	1132130004	10	24:25:23	1:1:1	200:1000:0	1	103:0:0	1	7	0
1032130611	铜墙铁壁	1132130004	11	24:25:23	1:1:1	200:1000:0	1	103:0:0	1	7	0
1032130612	铜墙铁壁	1132130004	12	24:25:23	1:1:1	200:1000:500	1	103:0:0	1	7	0
1032130613	铜墙铁壁	1132130004	13	24:25:23	1:1:1	200:1000:0	1	103:0:0	1	7	0
1032130614	铜墙铁壁	1132130004	14	24:25:23	1:1:1	200:1000:0	1	103:0:0	1	7	0
1032130615	铜墙铁壁	1132130004	15	24:25:23	1:1:1	200:1000:0	1	103:0:0	1	7	0
1032130701	经验吸收	1132130003	1	22:0:0	2:0:0	4000:0:0	1	3:103:0	3	8	0
1032130702	经验吸收	1132130003	2	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130703	经验吸收	1132130003	3	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130704	经验吸收	1132130003	4	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130705	经验吸收	1132130003	5	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130706	经验吸收	1132130003	6	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130707	经验吸收	1132130003	7	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130708	经验吸收	1132130003	8	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130709	经验吸收	1132130003	9	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130710	经验吸收	1132130003	10	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130711	经验吸收	1132130003	11	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130712	经验吸收	1132130003	12	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130713	经验吸收	1132130003	13	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130714	经验吸收	1132130003	14	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130715	经验吸收	1132130003	15	22:0:0	2:0:0	200:0:0	1	3:103:0	3	8	0
1032130801	铜墙铁壁	1132130004	1	20:21:23	1:1:1	100:100:500	1	4:104:0	1	9	0
1032130802	铜墙铁壁	1132130004	2	20:21:23	1:1:1	200:200:0	1	4:104:0	1	9	0
1032130803	铜墙铁壁	1132130004	3	20:21:23	1:1:1	200:200:0	1	4:104:0	1	9	0
1032130804	铜墙铁壁	1132130004	4	24:25:23	1:1:1	200:1000:500	1	4:104:0	1	9	0
1032130805	铜墙铁壁	1132130004	5	24:25:23	1:1:1	200:1000:0	1	4:104:0	1	9	0
1032130806	铜墙铁壁	1132130004	6	24:25:23	1:1:1	200:1000:0	1	4:104:0	1	9	0
