id	212	minMoney	maxMoney	propId	dropRate	minNumber	maxNumber																																																																																																																																																																																																																																
组ID	掉钱数	最小钱	最大钱	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数	道具ID	掉落几率	最小数	最大数
				乞讨饭碗																																																																																																																																																																																																																																			
20001	0	0	0	1043010103	8800	1	1																																																																																																																																																																																																																																
				YY的好东西																																																																																																																																																																																																																																			
20002	0	0	0	1043010105	7500	1	1																																																																																																																																																																																																																																
				YY的好东西																																																																																																																																																																																																																																			
20003	0	0	0	1043010106	10000	5	5																																																																																																																																																																																																																																
				“第一份材料”																																																																																																																																																																																																																																			
20004	0	0	0	1043010101	7500	1	1																																																																																																																																																																																																																																
				“第二份材料”																																																																																																																																																																																																																																			
20005	0	0	0	1043010201	7500	1	1																																																																																																																																																																																																																																
				YY幻想抑制剂																																																																																																																																																																																																																																			
20006	0	0	0	1043010108	8500	1	1																																																																																																																																																																																																																																
				囧字牌				花名册																																																																																																																																																																																																																															
20007	0	0	0	1043010109	8500	1	1	1043010117	7500	1	1																																																																																																																																																																																																																												
				身份证																																																																																																																																																																																																																																			
20008	0	0	0	1043010111	7500	1	1																																																																																																																																																																																																																																
				金饭碗																																																																																																																																																																																																																																			
20009	0	0	0	1043010113	8800	1	1																																																																																																																																																																																																																																
				破烂袈裟																																																																																																																																																																																																																																			
20010	0	0	0	1043010118	9000	1	1																																																																																																																																																																																																																																
				小蛇胆																																																																																																																																																																																																																																			
20011	0	0	0	1043010114	9500	1	1																																																																																																																																																																																																																																
				蟒蛇皮																																																																																																																																																																																																																																			
20012	0	0	0	1043010203	9500	1	2																																																																																																																																																																																																																																
				槐树精华																																																																																																																																																																																																																																			
20013	0	0	0	1043010210	9500	1	1																																																																																																																																																																																																																																
				小蝙蝠翅膀																																																																																																																																																																																																																																			
20014	0	0	0	1043010209	9500	1	2																																																																																																																																																																																																																																
				   金鞭																																																																																																																																																																																																																																			
20015	0	0	0	1043010205	9500	1	1																																																																																																																																																																																																																																
				白丝				白纱																																																																																																																																																																																																																															
20016	0	0	0	1043010206	8500	2	5	1043010211	8500	2	5																																																																																																																																																																																																																												
