gsId	id	name	iconId	materialsIds	materialsName	materialsCount	rank	groups	sequence	point	money	level	profession	remark	rates
gsId	装备id	装备名称	图片ID	需求材料Id	需求材料名	需求材料数量	难度	组别	序列	游戏币	人民币	等级	职业	说明	品质几率
1	1050007061	初心足球	1150007004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	1	50000	0	200	7:14:18	物攻：1900	7000:2500:500:0:0:0
2	1050007062	熟练足球	1150007008	1050007061:1042200101:1042200201:1042010102:1042020601	初心足球:素材之星·天上:素材之星·天下:奇妙宝石:足球行者之星	1:20:10:2:1	1	2	1	300000	0	1200	7:14:18	物攻：5400	7000:2500:500:0:0:0
3	1050007063	会心足球	1150007003	1050007062:1042200101:1042200201:1042010102:1042200601	熟练足球:素材之星·天上:素材之星·天下:奇妙宝石:怪医小分队之星	1:60:30:6:1	1	3	1	1000000	0	2200	7:14:18	物攻：8200	7000:2500:500:0:0:0
4	1050007064	达人足球	1150007007	1050007063:1050000001:1042010102:1042201401:0	会心足球:奇妙之心:奇妙宝石:传奇至尊之星:0	1:2:20:2:0	1	4	1	3000000	0	3200	7:14:18	物攻：9700	7000:2500:500:0:0:0
5	1050007065	大师足球	1150007004	1050007064:1050000001:1042010102:1042201901:0	达人足球:奇妙之心:奇妙宝石:绝世战队之星:0	1:3:30:2:0	1	5	1	10000000	0	4200	7:14:18	物攻：11000	7000:2500:500:0:0:0
6	1050007066	宗师足球	1150007008	1050007065:1050000001:1042010105:1042200402:1042201901	大师足球:奇妙之心:王国之心:真·无双碎片:绝世战队之星	1:3:1:4:3	1	6	1	20000000	0	5200	7:14:18	物攻：12500	7000:2500:500:0:0:0
7	1050007067	天上足球	1150007004	1050007066:1050000001:1042010105:1042200402:1042201901	宗师足球:奇妙之心:王国之心:真·无双碎片:绝世战队之星	1:4:2:8:4	1	7	1	30000000	0	1500	14:18:0	物攻：19500	7000:2500:500:0:0:0
8	1050005061	初心手枪	1150005004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	1	50000	0	200	5:13:17	物攻：1425 辅助值：20%	7000:2500:500:0:0:0
9	1050005062	熟练手枪	1150005008	1050005061:1042200101:1042200201:1042010102:1042010601	初心手枪:素材之星·天上:素材之星·天下:奇妙宝石:篮球行者之星	1:20:10:2:1	1	2	1	300000	0	1200	5:13:17	物攻：4050 辅助值：35%	7000:2500:500:0:0:0
10	1050005063	会心手枪	1150005003	1050005062:1042200101:1042200201:1042010102:1042200501	熟练手枪:素材之星·天上:素材之星·天下:奇妙宝石:运动二人组之星	1:60:30:6:1	1	3	1	1000000	0	2200	5:13:17	物攻：6150 辅助值：50%	7000:2500:500:0:0:0
11	1050005064	达人手枪	1150005007	1050005063:1050000001:1042010102:1042201401:0	会心手枪:奇妙之心:奇妙宝石:传奇至尊之星:0	1:2:20:2:0	1	4	1	3000000	0	3200	5:13:17	物攻：7275 辅助值：70%	7000:2500:500:0:0:0
12	1050005065	大师手枪	1150005004	1050005064:1050000001:1042010102:1042201901:0	达人手枪:奇妙之心:奇妙宝石:绝世战队之星:0	1:3:30:2:0	1	5	1	10000000	0	4200	5:13:17	物攻：8250 辅助值：80%	7000:2500:500:0:0:0
13	1050005066	宗师手枪	1150005008	1050005065:1050000001:1042010105:1042200402:1042201901	大师手枪:奇妙之心:王国之心:真·无双碎片:绝世战队之星	1:3:1:4:3	1	6	1	20000000	0	5200	5:13:17	物攻：9375 辅助值：85%	7000:2500:500:0:0:0
14	1050005067	天上手枪	1150005004	1050005066:1050000001:1042010105:1042200402:1042201901	宗师手枪:奇妙之心:王国之心:真·无双碎片:绝世战队之星	1:4:2:8:4	1	7	1	30000000	0	1500	13:17:0	物攻：14625 辅助值：90%	7000:2500:500:0:0:0
15	1050010061	初心针筒	1150010004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	1	50000	0	200	10:15:19	魔攻：1319 辅助值：40%	7000:2500:500:0:0:0
16	1050010062	熟练针筒	1150010008	1050010061:1042200101:1042200201:1042010102:1042030601	初心针筒:素材之星·天上:素材之星·天下:奇妙宝石:夺命监视者之星	1:20:10:2:1	1	2	1	300000	0	1200	10:15:19	魔攻：3750 辅助值：60%	7000:2500:500:0:0:0
17	1050010063	会心针筒	1150010003	1050010062:1042200101:1042200201:1042010102:1042200501	熟练针筒:素材之星·天上:素材之星·天下:奇妙宝石:运动二人组之星	1:60:30:6:1	1	3	1	1000000	0	2200	10:15:19	魔攻：5694 辅助值：90%	7000:2500:500:0:0:0
18	1050010064	达人针筒	1150010007	1050010063:1050000001:1042010102:1042201401:0	会心针筒:奇妙之心:奇妙宝石:传奇至尊之星:0	1:2:20:2:0	1	4	1	3000000	0	3200	10:15:19	魔攻：6736 辅助值：105%	7000:2500:500:0:0:0
19	1050010065	大师针筒	1150010004	1050010064:1050000001:1042010102:1042201901:0	达人针筒:奇妙之心:奇妙宝石:绝世战队之星:0	1:3:30:2:0	1	5	1	10000000	0	4200	10:15:19	魔攻：7639 辅助值：115%	7000:2500:500:0:0:0
20	1050010066	宗师针筒	1150010008	1050010065:1050000001:1042010105:1042200402:1042201901	大师针筒:奇妙之心:王国之心:真·无双碎片:绝世战队之星	1:3:1:4:3	1	6	1	20000000	0	5200	10:15:19	魔攻：8681 辅助值：125%	7000:2500:500:0:0:0
21	1050010067	天上针筒	1150010004	1050010066:1050000001:1042010105:1042200402:1042201901	宗师针筒:奇妙之心:王国之心:真·无双碎片:绝世战队之星	1:4:2:8:4	1	7	1	30000000	0	1500	15:19:0	魔攻：13542 辅助值：135%	7000:2500:500:0:0:0
22	1050011061	初心墨镜	1150011004	1042200101:1042200201:1042010102:0:0	素材之星·天上:素材之星·天下:奇妙宝石:0:0	10:3:1:0:0	1	1	1	50000	0	200	11:16:20	魔攻：1900	7000:2500:500:0:0:0
23	1050011062	熟练墨镜	1150011008	1050011061:1042200101:1042200201:1042010102:1042040601	初心墨镜:素材之星·天上:素材之星·天下:奇妙宝石:刻薄监视者之星	1:20:10:2:1	1	2	1	300000	0	1200	11:16:20	魔攻：5400	7000:2500:500:0:0:0
