step	level	npcId	questionId 	rewardIds	rewardCounts
步骤	等级	npcid	问题id	奖励物品	数量
1	50	1021060001	1400001	1041000001:1050005061|1041000001:1050007061|1041000001:1050010061|1041000001:1050011061	20:1|20:1|20:1|20:1
2	120	1021090080	1400002	1045000305|1045000305|1045000305|1045000305	1|1|1|1
3	200	1021090085	1400003	1045000137|1045000137|1045000137|1045000137	1|1|1|1
4	200	1021090079	1400004	1045000139|1045000139|1045000139|1045000139	1|1|1|1
5	260	1021090101	1400005	1042200101:1042200201|1042200101:1042200201|1042200101:1042200201|1042200101:1042200201	10:5|10:5|10:5|10:5
6	300	1021120001	1400006	1050201061|1050202061|1050203061|1050204061	1|1|1|1
7	300	1021120002	1400007	1045010432|1045010432|1045010433|1045010433	5|5|5|5
8	350	1021150001	1400008	1045000276:1045000280|1045000276:1045000280|1045000276:1045000280|1045000276:1045000280	2:1|2:1|2:1|2:1
9	450	1021060002	1400009	1045013053|1045013053|1045013053|1045013053	1|1|1|1
10	500	1021090083	1400010	1050301061|1050302061|1050303061|1050304061	1|1|1|1
11	550	1021150006	1400011	1050601061|1050602061|1050603061|1050604061	1|1|1|1
12	900	1021150007	1400012	1050401061|1050402061|1050403061|1050404061	1|1|1|1
13	1000	1021150010	1400013	1045000343:1045000348|1045000343:1045000348|1045000343:1045000348|1045000343:1045000348	2:6|2:6|2:6|2:6
14	1100	1021150011	1400014	1045000354:1045010409|1045000354:1045010409|1045000354:1045010409|1045000354:1045010409	20:100|20:100|20:100|20:100
