id	type	events
ID	类型 	事件列表
101001	1	1076110101
101002	1	1076110201
101003	1	1076110301
101004	1	1076110401
102001	1	1076130101
102002	1	1076130201
102003	1	1076130301
102004	1	1076130401
102005	1	1076130501
102006	1	1076130601
201001	2	1076510101
201002	2	1076510201
301001	3	1076310101
301002	3	1076310201
301003	3	1076310301
301004	3	1076310401
302001	3	1076330101
302002	3	1076330201
302003	3	1076330301
302004	3	1076330401
302005	3	1076330501
302006	3	1076330601
401001	4	1076410101:1076410102
401002	4	1076410201:1076410202:1076410203
401003	4	1076410301:1076410302
401004	4	1076410401:1076410402:1076410403:1076410404
402003	4	1076430301:1076430302
402004	4	1076430401:1076430401:1076430402:1076430403
402005	4	1076430501:1076430501:1076430502:1076430503
402006	4	1076430601:1076430601:1076430602:1076430603
501001	5	1076210101
501002	5	1076210201
501003	5	1076210301
501004	5	1076210401
502001	5	1076230101
502002	5	1076230201
502003	5	1076230301
502004	5	1076230401
502005	5	1076230501
502006	5	1076230601
601001	0	1076500101:1076100101:1076300101:1076500102:1076100102:1076100103:1076300102:1076500103:1076100104:1076100105
601002	0	1076300201:1076500201:1076100201:1076100202:1076300202:1076100203:1076200201:1076500202:1076100204:1076100205
601003	0	1076500301:1076100301:1076300301:1076100302:1076200301:1076300302:1076100303:1076500302:1076300303:1076100304
601004	0	1076500401:1076100401:1076300401:1076100402:1076300402:1076300403:1076100403:1076200401:1076100404:1076100405
601005	0	1076300501:1076100501:1076300502:1076100502:1076300503:1076100503:1076300504:1076100504:1076100505:1076200501
601006	0	1076300601:1076100601:1076300604:1076100602:1076100603:1076100604:1076300602:1076300603:1076100605:1076200601
601007	0	1076300701:1076100701:1076100702:1076300702:1076100703:1076100704:1076300703:1076300704:1076100705:1076200701
601008	0	1076100801:1076300801:1076300802:1076300803:1076300804:1076100802:1076300805:1076300806:1076300807:1076100803
602001	0	1076520101:1076520102:1076120101:1076320101:1076320102:1076420101:1076420102:1076420103:1076420104:1076420105
602002	0	1076120201:1076320201:1076320202:1076320203:1076320204:1076420201:1076420202:1076420203:1076420204:1076420205
602003	0	1076120301:1076320301:1076320302:1076320303:1076320304:1076420301:1076420302:1076420303:1076420304:1076420305
