id	name	type	time	overLevel	team	next	eventTeam	odds	activePoint	levels
ID	名字	类型	每天可完成次数	等级上限	编组	激活剧情	事件组	抽取几率	需要行动值	等级区间
1	比基尼海滩	1	0	0	1	2	601001	0	0	0
2	妖魔谷	1	0	0	1	3	601002	0	0	0
3	渤岛	1	0	0	1	4:100	601003	0	0	0
100	时空门A	2	3	0	1	0	101001:401001:301001:501001:201001	4000:1500:1500:1500:1500	5	0
4	神异之岛	1	0	0	1	5:200	601004	0	0	0
5	死亡征途	1	0	0	1	6:101	601005	0	0	0
6	长滩公园	1	0	0	1	7	601006	0	0	0
7	无尽之湖	1	0	0	1	8:102:201	601007	0	0	0
8	绿野仙踪	1	0	0	2	103:202	601008	0	0	0
101	时空门B	2	3	0	1	0	101002:401002:301002:501002:201002	4000:1500:1500:1500:1500	5	0
102	时空门C	2	3	0	1	0	101003:401003:301003:501003	4000:2000:2000:2000	5	0
103	时空门D	2	3	0	2	0	101004:401004:301004:501004	4000:2000:2000:2000	5	0
200	青铜圣殿	3	0	0	1	0	602001	0	0	0
201	白银圣殿	3	0	0	1	0	602002	0	0	0
202	黄金圣殿	3	0	0	2	0	602003	0	0	0
301	奇妙大冲关一	4	2	0	3	0	102001:302001:502001	5000:2500:2500	10	500-2000
302	奇妙大冲关二	4	2	0	3	0	102002:302002:502002	5000:2500:2500	10	2001-3500
303	奇妙大冲关三	4	2	0	3	0	102003:402003:302003:502003	4000:2000:2000:2000	10	3501-5000
304	奇妙大冲关四	4	2	0	3	0	102004:402004:302004:502004	4000:2000:2000:2000	10	5001-6000
305	奇妙大冲关五	4	2	0	3	0	102005:402005:302005:502005	4000:2000:2000:2000	10	6001-7000
306	奇妙大冲关六	4	2	0	3	0	102006:402006:302006:502006	4000:2000:2000:2000	10	7001-8500
