time	account	name	data
2010-11-08-15:41:38	twh11	TWh11	进化3级金刚角（物）,消耗[3级金刚角（物）x1太阳石x2奇妙之心x8王国之心x4真时之沙x3金条x2000],得到4级金刚角（物）
2010-11-08-15:43:15	twh11	TWh11	进化1级金刚角（魔）,消耗[1级金刚角（魔）x1星星石x2奇妙之心x2王国之心x1金条x200],得到2级金刚角（魔）
2010-11-08-15:43:24	twh11	TWh11	进化2级金刚角（魔）,消耗[2级金刚角（魔）x1月亮石x2奇妙之心x4王国之心x2真时之沙x1金条x1000],得到3级金刚角（魔）
2010-11-08-15:43:28	twh11	TWh11	进化3级金刚角（魔）,消耗[3级金刚角（魔）x1太阳石x2奇妙之心x8王国之心x4真时之沙x3金条x2000],得到4级金刚角（魔）
2010-11-08-15:34:49	twh11	TWh11	进化3级牛掌（魔）,消耗[3级牛掌（魔）x1太阳石x2奇妙之心x8王国之心x4真时之沙x3金条x2000],得到4级牛掌（魔）
2010-11-08-15:37:03	twh11	TWh11	进化1级金刚角（物）,消耗[1级金刚角（物）x1星星石x2奇妙之心x2王国之心x1金条x200],得到2级金刚角（物）
2010-11-08-15:37:27	twh11	TWh11	进化2级金刚角（物）,消耗[2级金刚角（物）x1月亮石x2奇妙之心x4王国之心x2真时之沙x1金条x1000],得到3级金刚角（物）
2010-11-08-15:33:54	twh11	TWh11	进化3级牛掌（物）,消耗[3级牛掌（物）x1太阳石x2奇妙之心x8王国之心x4真时之沙x3金条x2000],得到4级牛掌（物）
2010-11-08-15:34:16	twh11	TWh11	进化1级牛掌（魔）,消耗[1级牛掌（魔）x1星星石x2奇妙之心x2王国之心x1金条x200],得到2级牛掌（魔）
2010-11-08-15:34:21	twh11	TWh11	进化2级牛掌（魔）,消耗[2级牛掌（魔）x1月亮石x2奇妙之心x4王国之心x2真时之沙x1金条x1000],得到3级牛掌（魔）
2010-11-08-15:29:11	twh11	TWh11	丢弃1级小花头饰（物）x1
2010-11-08-15:30:09	twh11	TWh11	进化1级牛掌（物）,消耗[1级牛掌（物）x1星星石x2奇妙之心x2王国之心x1金条x200],得到2级牛掌（物）
2010-11-08-15:30:15	twh11	TWh11	进化2级牛掌（物）,消耗[2级牛掌（物）x1月亮石x2奇妙之心x4王国之心x2真时之沙x1金条x1000],得到3级牛掌（物）
2010-11-08-15:23:14	twh11	TWh11	丢弃4级手绢（物）x1
2010-11-08-15:24:36	twh11	TWh11	丢弃4级手绢（物）x1
2010-11-08-15:24:40	twh11	TWh11	丢弃4级袖珍荷叶球（物）x1
2010-11-08-15:24:58	twh11	TWh11	丢弃4级黄金铃铛（魔）x1
2010-11-08-15:20:40	twh11	TWh11	进化3级袖珍荷叶球（物）,消耗[3级袖珍荷叶球（物）x1太阳石x2奇妙之心x8王国之心x4真时之沙x3金条x2000],得到4级袖珍荷叶球（物）
2010-11-08-15:20:57	twh11	TWh11	进化1级袖珍荷叶球（魔）,消耗[1级袖珍荷叶球（魔）x1星星石x2奇妙之心x2王国之心x1金条x200],得到2级袖珍荷叶球（魔）
2010-11-08-15:21:02	twh11	TWh11	进化2级袖珍荷叶球（魔）,消耗[2级袖珍荷叶球（魔）x1月亮石x2奇妙之心x4王国之心x2真时之沙x1金条x1000],得到3级袖珍荷叶球（魔）
2010-11-08-15:22:52	twh11	TWh11	进化3级袖珍荷叶球（魔）,消耗[3级袖珍荷叶球（魔）x1太阳石x2奇妙之心x8王国之心x4真时之沙x3金条x2000],得到4级袖珍荷叶球（魔）
2010-11-08-15:19:37	twh11	TWh11	进化1级袖珍荷叶球（物）,消耗[1级袖珍荷叶球（物）x1星星石x2奇妙之心x2王国之心x1金条x200],得到2级袖珍荷叶球（物）
