\u6E38\u620F\u7BA1\u7406\u5458	游戏管理员
\u793C\u5305	礼包
\u7CFB\u7EDF	系统
\u5BB6\u65CF\u57FA\u91D1	家族基金
\u60A8\u7684\u65CF\u5458	您的族员
\u5145\u503C	充值
\u7684\u5143\u5B9D	的元宝
\u60A8\u5C06\u83B7\u5F97\u4E00\u7B14\u5BB6\u65CF\u57FA\u91D1(\u767E\u5206\u4E4B\u4E8C\u5341\u7684\u4EE3\u91D1\u5377)!!!	您将获得一笔家族基金(百分之二十的代金卷)!!!
\u767B\u9646	登陆
\u76EE\u6807	目标
\u72B6\u6001	状态
\u7981	禁
\u89E3	解
\u5C01	封
\u91D1	金
\u5143	元
\u62D2\u7EDD\u4E86\u4F60\u7684\u4EA4\u6613\u9080\u8BF7!	拒绝了你的交易邀请!
\u5BF9\u65B9\u53D6\u6D88\u9080\u8BF7\u6216\u8D85\u65F6	对方取消邀请或超时
\u62D2\u7EDD\u4E86\u4F60\u7684\u5207\u78CB\u9080\u8BF7!	拒绝了你的切磋邀请!
\u53D6\u6D88\u5BC4\u5356	取消寄卖
\u5BC4\u5356\u7CFB\u7EDF	寄卖系统
\u5356\u51FA\u786E\u8BA4	卖出确认
\u60A8\u7684	您的
\u5DF2\u7ECF\u5356\u51FA\u6210\u529F!!!	已经卖出成功!!!
\u8D2D\u4E70\u8FD4\u8FD8	购买返还
\u5F00\u59CB\u5BC4\u5356	开始寄卖
\u5BC4\u5356\u8FD4\u56DE\u65F6\u73A9\u5BB6\u6B63\u5728\u767B\u9646\u5BC4\u5356\u5C06\u589E\u52A0\u5341\u5206\u949F	寄卖返回时玩家正在登陆寄卖将增加十分钟
\u65F6\u95F4\u8FD4\u8FD8	时间返还
\u5BC4\u5356\u4E2D\u5FC3	寄卖中心
\u60A8\u6240\u5BC4\u5356\u7684\u7269\u54C1\u5DF2\u5230\u671F	您所寄卖的物品已到期
\u9635\u8425\u6D3B\u52A8\u5373\u5C06\u5F00\u59CB!!!	阵营活动即将开始!!!
\u9635\u8425\u6D3B\u52A8\u5F00\u59CB!!!	阵营活动开始!!!
\u9635\u8425\u6D3B\u52A8\u7ED3\u675F!!!	阵营活动结束!!!
\u8BE5\u526F\u672CBOSS\u5DF2\u5168\u90E8\u88AB\u51FB\u6740!	该副本BOSS已全部被击杀!
\u793C\u7269\u8D60\u9001	礼物赠送
\u5C0A\u656C\u7684\u73A9\u5BB6	尊敬的玩家
\u60A8\u7528\u81EA\u5DF1\u768410\u5143\u5B9D\u8BA9\u5168\u961F\u539F\u5730\u590D\u6D3B	您用自己的10元宝让全队原地复活
\u8FD9\u79CD\u4FA0\u4E49\u7684\u884C\u4E3A	这种侠义的行为
\u8BA9\u6211\u4EEC\u6DF1\u611F\u4F69\u670D	让我们深感佩服
\u7279\u8D60\u9001\u60A810\u4EE3\u91D1\u5238	特赠送您10代金券
\u5E0C\u671B\u60A8\u6E38\u620F\u6109\u5FEB	希望您游戏愉快
\u5E26\u9886\u5168\u961F\u539F\u5730\u590D\u6D3B!	带领全队原地复活!
\u70ED\u5FC3\u6218\u7ED3\u675F	热心战结束
\u4F60\u597D	你好
\u4F60\u4ECA\u5929\u7684\u70ED\u5FC3\u6218\u6597\u6B21	你今天的热心战斗次
\u6570\u5DF2\u8FBE\u6700\u5927	数已达最大
\u4E0D\u80FD\u518D\u83B7\u5F97\u5E2E\u5FD9\u5173\u7CFB	不能再获得帮忙关系
\u7684\u989D\u5916\u7ECF\u9A8C\u52A0\u6210\u4E86!	的额外经验加成了!
\u4F60\u4ECA\u5929\u7684\u70ED\u5FC3\u6218\u6B21\u6570\u4E3A	你今天的热心战次数为
\u5BC2\u5BDE\u64C2\u4E3B	寂寞擂主
\u83B7\u5F97\u79EF\u5206	获得积分
\u4f60\u6ca1\u6709\u6280\u80fd\u6240\u9700\u6b66\u5668	你没有技能所需武器
\u4F60\u7684\u9B54\u529B\u503C\u4E0D\u591F\u4E86!	你的魔力值不够了!
\u4F60\u7684\u961F\u4F0D\u5728PK(\u5207\u78CB)\u4E2D\u88AB	你的队伍在PK(切磋)中被
\u7684\u961F\u4F0D\u6253\u8D25\u4E86	的队伍打败了
\u4F60\u7684\u961F\u4F0D\u5728PK(\u5207\u78CB)\u4E2D\u6218\u80DC\u4E86	你的队伍在PK(切磋)中战胜了
\u7684\u961F\u4F0D	的队伍
\u6211\u7684\u961F\u4F0D	我的队伍
\u7684BOSS\u884C\u52A8\u503C\u4E0D\u591F!	的BOSS行动值不够!
\u7684\u65F6\u7A7A\u4E4B\u65C5\u884C\u52A8\u503C\u4E0D\u591F!	的时空之旅行动值不够!
\u7684\u5143\u5b9d\u4e0d\u8db3!	的元宝不足!
\u7684\u884c\u52a8\u503c\u4e0d\u591f!	的行动值不够!
\u7684\u6302\u673A\u5361\u4E0D\u591F	的挂机卡不够
\u4F60	你
\u6CA1\u6709	没有
\u8BF7\u53BB\u5B8C\u6210\u76F8\u5173\u4EFB\u52A1\u540E\u9886\u53D6!	请去完成相关任务后领取!
\u4F60\u7684\u9B54\u529B\u503C\u4E0D\u591F\u4E86	你的魔力值不够了
\u83b7\u5f97\u94DC\u5e01	获得铜币
\u83B7\u5F97\u8363\u8A89	获得荣誉
\u83b7\u5f97\u7ecf\u9a8c	获得经验
\u961f\u957f\u52a0\u6210	队长加成
\u5BB6\u65CF\u52A0\u6210	家族加成
\u961F\u4F0D\u52A0\u6210	队伍加成
\u5E2E\u5FD9\u52A0\u6210	帮忙加成
\u7ED3\u5A5A\u52A0\u6210	结婚加成
\u83b7\u5f97	获得
\u5f88\u6ee1\u610f\u7684\u6536\u4e0b\u4e86\u8d4e\u8eab\u6cd5\u5b9d	很满意的收下了赎身法宝
\u5e76\u8d60\u9001\u4e86\u4e00\u672c<<\u4e09\u597dBOSS\u5b88\u5219>>\u7ed9	并赠送了一本<<三好BOSS守则>>给
\u8ba9\u5b83\u56de\u53bb\u597d\u597d\u7814\u8bfb	让它回去好好研读
\u4eca\u540e\u4e0d\u5f97\u518d\u51fa\u6765\u4f5c\u6076!	今后不得再出来作恶!
\u7CFB\u7EDF\u5B9D\u8D1D	系统宝贝
\u5B9D\u7BB1\u8D60\u9001	宝箱赠送
\u606D\u559C\u4F60\u5728\u4E0E	恭喜你在与
\u7684\u640F\u6597\u4E2D\u80DC\u5229	的搏斗中胜利
\u5E76\u4E14\u83B7\u5F97	并且获得
\u901A\u8FC7\u90AE\u4EF6\u7CFB\u7EDF\u53D1\u9001\u7ED9\u4F60!	通过邮件系统发送给你!
\u53F7\u5916!!\u53F7\u5916!!\u5728	号外!!号外!!在
\u961F\u4F0D\u7684\u5F3A\u529B\u653B\u51FB\u548C	队伍的强力攻击和
\u5B8C\u7F8E\u9632\u5FA1\u7684\u5A01\u6151\u4E0B	完美防御的威慑下
\u5E94\u58F0\u5012\u5730	应声倒地
\u5E2E\u5FD9\u83B7\u5F97\u8363\u8A89	帮忙获得荣誉
\u4F60\u548C	你和
\u7684\u5E2E\u5FD9\u5173\u7CFB\u5DF2\u6210\u529F\u89E3\u9664!	的帮忙关系已成功解除!
\u83B7\u5F97\u7ECF\u9A8C	获得经验
\u83B7\u5F97\u94DC\u5E01	获得铜币
\u5BB6\u65CF\u7684	家族的
\u5E26\u9886\u961F\u4F0D,\u6253\u8D25\u4E86\u4F60\u7684\u961F\u4F0D!	带领队伍,打败了你的队伍!
\u4F60\u7684\u961F\u4F0D\u6253\u8D25\u4E86	你的队伍打败了
\u5E26\u9886\u7684\u961F\u4F0D!	带领的队伍!
\u5BB6\u65CF\u6D3B\u52A8\u5373\u5C06\u5F00\u59CB	家族活动即将开始
\u5927\u5BB6\u53EF\u4EE5\u901A\u8FC7\u57CE\u9547\u4F20\u9001\u8FDB\u51C6\u5907\u623F\u95F4\u54E6!!!	大家可以通过城镇传送进准备房间哦!!!
\u5BB6\u65CF\u6D3B\u52A8\u5F00\u59CB	家族活动开始
\u4ECA\u5929\u7684'MVP'\u662F\u54EA\u4E2A\u5BB6\u65CF\u5462?\u5927\u5BB6\u52A0\u6CB9\u5427!!!	今天的'MVP'是哪个家族呢?大家加油吧!!!
\u5BB6\u65CF\u6D3B\u52A8\u7ED3\u675F	家族活动结束
\u6B22\u8FCE\u5927\u5BB6\u518D\u6B21\u53C2\u52A0\u672C\u6D3B\u52A8!!!	欢迎大家再次参加本活动!!!
\u5BB6\u65CF\u6D3B\u52A8\u8FD8\u5269\u4E0B	家族活动还剩下
\u5206\u949F	分钟
\u5BB6\u65CF\u6D3B\u52A8\u6B63\u5728\u706B\u70ED\u8FDB\u884C\u4E2D !!!	家族活动正在火热进行中 !!!
\u5BB6\u65CF\u6D3B\u52A8\u5B98	家族活动官
\u5BB6\u65CF\u6D3B\u52A8\u8363\u8A89\u5956\u52B1	家族活动荣誉奖励
\u8363\u8A89\u503C\u5956\u52B1!	荣誉值奖励!
\u5BB6\u65CF\u6D3B\u52A8\u6392\u540D\u5956\u52B1	家族活动排名奖励
\u606D\u559C\u4F60\u6240\u5728\u5BB6\u65CF\u53D6\u5F97	恭喜你所在家族取得
\u5BB6\u65CF\u6D3B\u52A8\u7684\u7B2C\u4E00\u540D	家族活动的第一名
\u4F60\u5728\u5BB6\u65CF\u4E2D\u6392\u540D\u7B2C	你在家族中排名第
\u7279\u6B64\u5956\u52B1!	特此奖励!
\u79BB\u9EC4\u91D1\u6597\u58EB\u6D3B\u52A8\u5F00\u59CB\u8FD8\u6709	离黄金斗士活动开始还有
\u5206\u949F!	分钟!
\u9EC4\u91D1\u6597\u58EB\u6D3B\u52A8\u5F00\u59CB!!!	黄金斗士活动开始!!!
\u9EC4\u91D1\u6597\u58EB\u6D3B\u52A8\u7ED3\u675F!!!	黄金斗士活动结束!!!
\u9EC4\u91D1\u6597\u58EB\u6D3B\u52A8\u524D	黄金斗士活动前
\u540D\u5206\u522B\u662F	名分别是
\u5206	分
\u606D\u559C\u4ED6\u4EEC!	恭喜他们!
\u83B7\u5F97\u9EC4\u91D1\u6597\u58EB\u6D3B\u52A8\u5956\u52B1	获得黄金斗士活动奖励
\u9EC4\u91D1\u6597\u58EB	黄金斗士
\u6D3B\u52A8\u968F\u673A\u5956\u52B1	活动随机奖励
\u606D\u559C\u4F60\u83B7\u5F97\u6D3B\u52A8\u968F\u673A\u5956\u52B1!	恭喜你获得活动随机奖励!
\u5728\u7ADE\u6280\u4E2D\u5C55\u73B0\u4E86\u66F4\u5FEB	在竞技中展现了更快
\u66F4\u9AD8	更高
\u66F4\u5F3A\u7684\u6597\u58EB\u7CBE\u795E	更强的斗士精神
\u611F\u52A8\u4E86\u5973\u795E	感动了女神
\u83B7\u5F97	获得
\u6B63\u5728\u89D2\u843D\u73A9\u8EB2\u732B\u732B	正在角落玩躲猫猫
\u5374\u88AB\u4E00\u9897\u6D41\u5F39\u51FB\u4E2D	却被一颗流弹击中
\u4F4E\u5934\u4E00\u770B	低头一看
\u7ADF\u7136\u662F	竟然是
\u4E00	一
\u4E8C	二
\u4E09	三
\u56DB	四
\u4E94	五
\u5947\u5999\u4E16\u754C\u7684\u7B2C	奇妙世界的第
\u83B7\u5F97\u9EC4\u91D1\u6597\u58EB	获得黄金斗士
\u7684\u7B7E\u540D\u5199\u771F!	的签名写真!
\u83B7\u5F97\u9EC4\u91D1\u6597\u58EB\u6D3B\u52A8\u7B7E\u540D\u5199\u771F!	获得黄金斗士活动签名写真!
\u606D\u559C	恭喜
\u7684\u65C5\u884C\u56E2	的旅行团
\u5E78\u8FD0\u7684\u9047\u5230\u4E86\u6C89\u7761\u7684	幸运的遇到了沉睡的
\u4ED6\u80FD\u5426\u51FB\u5012BOSS\u643A\u5B9D\u800C\u5F52\u5462?\u8BA9\u6211\u4EEC\u62ED\u76EE\u4EE5\u5F85	他能否击倒BOSS携宝而归呢?让我们拭目以待
\u4ED6\u4EEC\u80FD\u5426\u51FB\u5012BOSS\u643A\u5B9D\u800C\u5F52\u5462?\u8BA9\u6211\u4EEC\u62ED\u76EE\u4EE5\u5F85	他们能否击倒BOSS携宝而归呢?让我们拭目以待
\u4eca\u540e\u4e0d\u5f97\u518d\u51fa\u6765\u4f5c\u6076	今后不得再出来作恶
\u901A\u8FC7\u90AE\u4EF6\u7CFB\u7EDF\u53D1\u9001\u7ED9\u4F60	通过邮件系统发送给你
\u5929\u5566	天啦
\u7684\u56E2\u961F\u592A\u5F3A\u608D\u4E86	的团队太强悍了
\u5F3A\u5927\u7684	强大的
\u88AB\u4ED6\u4EEC\u5F7B\u5E95\u5F81\u670D\u4E86	被他们彻底征服了
\u4ED6\u4EEC\u83B7\u5F97\u4E86\u81F3\u9AD8\u65E0\u4E0A\u7684\u8363\u8A89\u548C\u73CD\u8D35\u7684\u8D22\u5B9D	他们获得了至高无上的荣誉和珍贵的财宝
\u8BF7\u5148\u5173\u95ED\u9B54\u65B9!	请先关闭魔方!
\u5F00\u5B9D\u7BB1\u65F6\u4E0D\u80FD\u505A\u5176\u5B83\u64CD\u4F5C\u54E6!	开宝箱时不能做其它操作哦!
\u8BF7\u5148\u7ED3\u675F\u5947\u5999\u95EE\u7B54\u6D3B\u52A8!	请先结束奇妙问答活动!
\u8BF7\u5148\u9009\u62E9\u5BA0\u7269\u53D8\u8EAB!	请先选择宠物变身!
\u8BF7\u5148\u9009\u62E9\u4F60\u8981\u8F6C\u7684\u804C\u4E1A!	请先选择你要转的职业!
\u8BF7\u5148\u9009\u62E9\u4F60\u8981\u52A0\u5165\u7684\u9635\u8425!	请先选择你要加入的阵营!
\u8BF7\u5148\u5173\u95ED\u4ED3\u5E93!	请先关闭仓库!
\u5BF9\u4E0D\u8D77	对不起
\u6B63\u5728\u8FDB\u884C\u8F6C\u804C\u9009\u62E9!	正在进行转职选择!
\u6B63\u5728\u8FDB\u884C\u9635\u8425\u9009\u62E9!	正在进行阵营选择!
\u6B63\u5728\u8FDB\u884C\u5BA0\u7269\u53D8\u8EAB\u9009\u62E9!	正在进行宠物变身选择!
\u6B63\u5728\u53C2\u52A0\u9B54\u65B9\u6D3B\u52A8!	正在参加魔方活动!
\u6B63\u5728\u5F00\u542F\u5B9D\u7BB1!	正在开启宝箱!
\u6B63\u5728\u53C2\u52A0\u5947\u5999\u95EE\u7B54\u6D3B\u52A8!	正在参加奇妙问答活动!
\u6B63\u5728\u8FDB\u884C\u4ED3\u5E93\u76F8\u5173\u64CD\u4F5C!	正在进行仓库相关操作!
\u62D2\u7EDD\u4E86\u4F60\u7684\u7EC4\u961F\u9080\u8BF7!	拒绝了你的组队邀请!
\u5BB6\u65CF	家族
\u65CF\u957F\u53D8\u66F4\u4FE1\u606F	族长变更信息
\u60A8\u597D	您好
\u60A8\u6240\u5728\u7684\u5BB6\u65CF	您所在的家族
\u5F53\u5BB6\u7684\u7531	当家的由
\u53D8\u6210\u4E86	变成了
\u65CF\u957F\u53D8\u66F4\u7684\u4E24\u4E2A\u76F8\u5173\u76F8\u5173\u73A9\u5BB6\u9700\u8981\u91CD\u65B0\u767B\u5F55	族长变更的两个相关相关玩家需要重新登录
\u6BCF\u5341\u4E8C\u4E2A\u5C0F\u65F6\u53EF\u4EE5\u53D8\u66F4\u4E00\u6B21\u65CF\u957F!	每十二个小时可以变更一次族长!
\u5BB6\u65CF\u89E3\u6563\u4FE1\u606F	家族解散信息
\u5F88\u4E0D\u613F\u610F\u544A\u8BC9\u60A8\u8FD9\u4E2A\u4E0D\u5E78\u7684\u6D88\u606F	很不愿意告诉您这个不幸的消息
\u5DF2\u7ECF\u88AB	已经被
\u89E3\u6563\u4E86	解散了
\u5BF9\u4E0D\u8D77\uFF0C\u4F60\u88AB\u7BA1\u7406\u5458\u7981\u8A00\u4E86!	对不起，你被管理员禁言了!
\u8BF7\u5148\u9009\u62E9\u5BA0\u7269\u53D8\u8EAB	请先选择宠物变身
